Libellé;Démographie - Population au début du mois - France (inclus Mayotte à partir de 2014);Codes
idBank;1641607;
Période;;
2002-11;61753;A
2002-10;61713;A
2002-09;61671;A
2002-08;61628;A
2002-07;61585;A
2002-06;61548;A
2002-05;61508;A
2002-04;61473;A
2002-03;61440;A
2002-02;61411;A
2002-01;61385;A
2001-12;61354;A
2001-11;61319;A
2001-10;61278;A
2001-09;61238;A
2001-08;61198;A
2001-07;61156;A
2001-06;61117;A
2001-05;61077;A
2001-04;61041;A
2001-03;61006;A
2001-02;60974;A
2001-01;60941;A
2000-12;60906;A
2000-11;60870;A
2000-10;60831;A
2000-09;60791;A
2000-08;60749;A
2000-07;60707;A
2000-06;60668;A
2000-05;60627;A
2000-04;60591;A
2000-03;60557;A
2000-02;60529;A
2000-01;60508;A
1999-12;60480;A
1999-11;60449;A
1999-10;60415;A
1999-09;60376;A
1999-08;60338;A
1999-07;60298;A
1999-06;60261;A
1999-05;60225;A
1999-04;60193;A
1999-03;60166;A
1999-02;60146;A
1999-01;60123;A
1998-12;60107;A
1998-11;60088;A
1998-10;60067;A
1998-09;60042;A
1998-08;60018;A
1998-07;59992;A
1998-06;59971;A
1998-05;59952;A
1998-04;59936;A
1998-03;59925;A
1998-02;59915;A
1998-01;59899;A
1997-12;59882;A
1997-11;59866;A
1997-10;59846;A
1997-09;59825;A
1997-08;59806;A
1997-07;59782;A
1997-06;59759;A
1997-05;59738;A
1997-04;59719;A
1997-03;59704;A
1997-02;59693;A
1997-01;59691;A
1996-12;59680;A
1996-11;59663;A
1996-10;59643;A
1996-09;59622;A
1996-08;59601;A
1996-07;59577;A
1996-06;59555;A
1996-05;59535;A
1996-04;59520;A
1996-03;59506;A
1996-02;59496;A
1996-01;59487;A
1995-12;59476;A
1995-11;59459;A
1995-10;59437;A
1995-09;59416;A
1995-08;59395;A
1995-07;59372;A
1995-06;59350;A
1995-05;59331;A
1995-04;59319;A
1995-03;59304;A
1995-02;59291;A
1995-01;59281;A
1994-12;59263;A
1994-11;59245;A
1994-10;59226;A
1994-09;59207;A
1994-08;59188;A
1994-07;59166;A
1994-06;59145;A
1994-05;59122;A
1994-04;59105;A
1994-03;59090;A
1994-02;59078;A
1994-01;59070;A
