Date,ERSTE GROUP BANK AG,RAIFFEISEN BANK INTERNATIONA,KBC GROEP NV,DEXIA SA,BANK OF CYPRUS PUBLIC CO LTD,HELLENIC BANK PUBLIC CO LTD,COMMERZBANK AG,DEUTSCHE BANK AG?REGISTERED,AAREAL BANK AG,DEUTSCHE PFANDBRIEFBANK AG,BANCO BILBAO VIZCAYA ARGENTA,BANCO DE SABADELL SA,BANCO POPULAR ESPANOL,BANCO SANTANDER SA,BANKIA SA,BANKINTER SA,CAIXABANK S.A,LIBERBANK SA,BNP PARIBAS,Crédit Mutuel,CREDIT AGRICOLE SA,BPCE,SOCIETE GENERALE SA,ALPHA BANK AE,EUROBANK ERGASIAS SA,PIRAEUS BANK S.A,BANK OF IRELAND,ALLIED IRISH BANKS PLC,PERMANENT TSB GROUP HOLDINGS,BANCA CARIGE SPA,BANCA MONTE DEI PASCHI SIENA,BANCA POPOL EMILIA ROMAGNA,BANCA POPOLARE DI MILANO,BANCA POPOLARE DI SONDRIO,BANCO POPOLARE SC,INTESA SANPAOLO,MEDIOBANCA SPA IT,UBI BANCA SPA,UNICREDIT SPA,BANK OF VALLETTA PLC,ING GROEP NV,ABN AMRO GROUP,RABOBANK,BANCO BPI SA.? REG SHS,BANCO COMERCIAL PORTUGUES?R,UBS GROUP AG?REG,CREDIT SUISSE GROUP AG?REG,BARCLAYS PLC GB,HSBC HOLDINGS PLC GB,ROYAL BANK OF SCOTLAND GROUP GB,NORDEA BANK AB,JPMORGAN CHASE & Co,CITIGROUP INC,BANK OF AMERICA,GOLDMAN SACHS Group,MORGAN STANLEY
01/08/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
31/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
30/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
29/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
28/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
27/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
26/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
25/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
24/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
23/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
22/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
21/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
20/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
19/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
18/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
17/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
16/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
15/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
14/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
13/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
12/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
11/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
10/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
09/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
08/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
07/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
06/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
05/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
04/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
03/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
02/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
01/07/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
30/06/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0.01,0.1,0,0.3968,0.48,0.05,0.05,0.65,0.15
29/06/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0,0.1,0,0.3968,0.44,0.05,0.05,0.65,0.15
28/06/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0,0.1,0,0.3968,0.44,0.05,0.05,0.65,0.15
27/06/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0,0.1,0,0.3968,0.44,0.05,0.05,0.65,0.15
26/06/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0,0.1,0,0.3968,0.44,0.05,0.05,0.65,0.15
25/06/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0,0.1,0,0.3968,0.44,0.05,0.05,0.65,0.15
24/06/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0,0.1,0,0.3968,0.44,0.05,0.05,0.65,0.15
23/06/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0,0.1,0,0.3968,0.44,0.05,0.05,0.65,0.15
22/06/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0,0.1,0,0.3968,0.44,0.05,0.05,0.65,0.15
21/06/2016,#N/A N/A,0.8906,0,#N/A N/A,0,2.0817,0,0,#N/A N/A,#N/A N/A,0,0.1931,0.195,0.3803,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,4.8,#N/A N/A,0,#N/A N/A,0,0,0,0,0,0,0,0,0,0,#N/A N/A,0,0,0,0,1.2764,0.0391,0,#N/A N/A,,0,0.0059,0,0.7116,0,0.1,0,0.3968,0.44,0.05,0.05,0.65,0.15
