Date;house_price;FTEE;CtE;Yearwage;population;EHW;SandP500;SandP500wu;Wiwu;u;ln_stock;u_transformed
1929Q4;5.966027322;34654.28125;49.978125;1.44218435374988;122.2875024625;505.878862805183;23.3233333333333;16172.22740816;120.670624303247;2.09333333333333;9.69105069250696;0.759913233884787
1930Q1;5.9018925285;34131.78125;48.928125;1.43349410445976;122.67499915625;505.069856026282;22.9066666666666;15979.6029822525;119.610486098413;2.98666666666666;9.67906837434658;1.12447969820512
1930Q2;5.837757735;33548.46875;47.696875;1.42171215777229;122.97499839375;504.953301665237;23.64;16627.8383924366;122.972883351067;3.58666666666666;9.71883358132341;1.31374894741498
1930Q3;5.7736229415;32904.34375;46.284375;1.4066086035207;123.24999801875;505.896959765334;20.8766666666666;14841.8448560694;113.753943442594;6.48333333333333;9.60520582544144;1.93626529385557
1930Q4;5.709488148;32199.40625;44.690625;1.38789402673314;123.49999803125;508.051595767134;16.6833333333333;12020.6103722508;99.2393043096679;10.56;9.39437798652132;2.46867545485942
1931Q1;5.593150615;31340.53125;42.7125;1.36280188556584;123.67812418125;507.594231893206;16.9033333333333;12403.3680260979;101.196576701588;11.5433333333333;9.42572332972035;2.56876546581886
1931Q2;5.47681308199999;30551.21875;40.8375;1.33663540414542;123.89687466875;507.66276420649;14.6866666666666;10987.7881590729;93.8405162793081;12.42;9.30453976773125;2.65192560112017
1931Q3;5.360475549;29738.34375;38.8625;1.30674909417027;124.10937524375;509.114775257002;13.3533333333333;10218.7431335563;89.9464625455738;14.8933333333333;9.23197887513387;2.86217849980123
1931Q4;5.244138016;28901.90625;36.7874999999999;1.27270230622256;124.31562590625;512.239426777464;9.69333333333333;7616.33988242199;76.639877944605;17.9333333333333;8.93805120289428;3.08429943940547
1932Q1;5.10691938774999;27372.0625;33.2375;1.21414358214357;124.5000030625;523.670749296627;8.26333333333333;6805.89466918272;73.2520474538963;18.8266666666666;8.82554437877047;3.14385770449975
1932Q2;4.9697007595;26756.4375;31.5125;1.17770701830662;124.7000033375;526.210417075633;5.51999999999999;4687.07404659691;62.4177981968722;22.3633333333333;8.45256379609041;3.36055307471157
1932Q3;4.83248213125;26385.1875;30.2375;1.145982552263;124.9000031375;526.689548774664;6.93333333333333;6050.12119917699;69.5402846121286;24.8033333333333;8.70783358374605;3.49604133499693
1932Q4;4.69526350299999;26258.3125;29.4125;1.1201271038257;125.1000024625;524.384664723536;6.99666666666666;6246.31494298293;70.3938489630229;24.8966666666666;8.7397469597199;3.50103916863977
1933Q1;4.650518298;26556.28125;29.19375;1.09932934804575;125.299998921875;530.059475589757;6.52333333333333;5933.9208444946;69.1796884765113;24.37;8.68844046144508;3.47267002375727
1933Q2;4.605773093;26845.96875;29.20625;1.08792718330338;125.499998253125;531.308091200256;8.71666666666666;8012.17838881403;80.0769026156115;25.3733333333333;8.98871796174179;3.52637103439288
1933Q3;4.561027888;27307.84375;29.60625;1.08416651339041;125.699998065625;528.812861878541;10.8266666666666;9986.16590066908;90.1612325972977;22.59;9.20895600424812;3.37356154525138
1933Q4;4.516282683;27941.90625;30.39375;1.08770498787134;125.899998359375;522.75202258007;9.76666666666666;8979.15039056704;84.4865532634877;21.2066666666666;9.10266054552488;3.29265739272499
1934Q1;4.54909583325;29470.6562499999;32.7875;1.11249965551992;126.100001540625;515.632511646206;10.8666666666666;9767.79328672073;88.0727556829685;17.8366666666666;9.18684585327349;3.07771731360278
1934Q2;4.5819089835;30160.0937499999;33.8625;1.12274218242157;126.300001834375;515.430097916905;10.2233333333333;9105.682046508;84.6151427212338;17.0966666666666;9.11665389836309;3.02637842830101
1934Q3;4.61472213375;30732.7187499999;34.8374999999999;1.13355008734618;126.500001646875;514.985940220714;9.15;8071.9856159348;79.2078086808186;20.19;8.99615478006144;3.23070880842492
1934Q4;4.647535284;31188.5312499999;35.7125;1.14504905981733;126.700000978125;514.25108817836;9.13666666666666;7979.27965472871;78.6726078798847;21.13;8.98460341753839;3.28806309020616
1935Q1;4.761002926;30957.5312499999;35.8625;1.15843838946815;126.899997421875;521.539396939634;8.88333333333333;7668.36925821472;77.582818541452;17.64;8.94485925874614;3.06423935440715
1935Q2;4.87447056799999;31407.71875;36.7875;1.17127302709239;127.099996753125;528.950278061114;9.63666666666666;8227.51522810106;81.026184289944;17.82;9.01523933169406;3.07657964457549
1935Q3;4.98793821;31969.09375;37.8625;1.18432824250451;127.299996565625;536.138964025534;11.21;9465.28132799916;87.9823100046418;17.9666666666666;9.15538578618101;3.08656270650603
1935Q4;5.101405852;32641.65625;39.0875;1.19745155809258;127.499996859375;543.177906206465;12.6666666666666;10578.0201136849;94.2774672098888;16.8966666666666;9.26653355308799;3.01220173643283
1936Q1;5.14245433275;33996.5;40.9;1.20304149834591;127.699998853125;545.859318483463;14.39;11961.3496456981;101.664646883985;14.9733333333333;9.3894358677682;2.86847609441126
1936Q2;5.1835028135;34663;42.25;1.21885656869889;127.899999621875;543.927829501996;14.5533333333333;11940.1525225144;101.414775190069;15.03;9.38766216094494;2.87292013673752
1936Q3;5.22455129425;35212.25;43.575;1.23747480506146;128.100000384375;540.831231524243;15.8266666666666;12789.4859773574;105.607425121461;13.6733333333333;9.45637870434834;2.76247909999163
1936Q4;5.265599775;35644.25;44.875;1.258933783514;128.300001140625;536.62588611521;17.1033333333333;13585.5702319733;109.443016772391;13.2766666666666;9.51676349609717;2.72845531967653
1937Q1;5.29934425575;36127.59375;47.353125;1.31069753677726;128.46875234375;519.418191972933;17.93;13679.7388389744;108.68857724231;11.9433333333333;9.52367110027607;2.6073628820047
1937Q2;5.3330887365;36257.65625;48.121875;1.32721866722157;128.68125290625;517.072700544274;16.3;12281.3221382146;101.247231368067;11.5266666666666;9.41583486188396;2.56713218923413
1937Q3;5.36683321725;36203.0312499999;48.384375;1.33647471805709;128.90625328125;517.644181871835;15.8933333333333;11891.9820319821;99.2639809156408;11.2466666666666;9.38361967318363;2.53938098810214
1937Q4;5.400577698;35963.71875;48.140625;1.33856349451779;129.14375346875;521.044296871845;11.5;8591.29958877506;82.3462605254647;13.9333333333333;9.05850529442848;2.78433204710626
1938Q1;5.38878173775;34591.90625;45.171875;1.30581943477195;129.4093794375;534.039302859777;10.8866666666666;8337.03831997864;81.9636408606508;17.75;9.02846331477508;3.07179231226403
1938Q2;5.3769857775;34362.34375;44.803125;1.30384362732067;129.6656288625;534.734555290949;10.0266666666666;7690.08373133738;78.64974375049;19.5666666666666;8.94768695078077;3.19156894019115
1938Q3;5.36518981725;34327.21875;44.815625;1.30554148533183;129.9281277125;533.946316995268;12.1;9268.18499139806;86.7988806740278;19.12;9.1343428455816;3.16293851889913
1938Q4;5.353393857;34486.53125;45.209375;1.31091735156653;130.1968759875;531.685048854661;12.94;9870.95028114233;89.7697704941321;17.24;9.19735140754393;3.0364575983463
1939Q1;5.33597381675;35233.71875;46.78125;1.32772560436204;130.471868890625;524.351171609234;12.43;9361.8741396288;86.5923352334174;17.41;9.14440077802139;3.04832633194556
1939Q2;5.3185537765;35624.53125;47.61875;1.33667657119548;130.753117934375;520.258605682795;11.1633333333333;8351.55906364782;81.0428043218348;16.86;9.03020351462529;3.00958820473731
1939Q3;5.30113373625;36052.40625;48.51875;1.34577555088452;131.040618321875;516.181054224517;12.0066666666666;8921.74527823391;83.7129656672489;15.73;9.09624686543016;2.92671397327402
1939Q4;5.283713696;36517.34375;49.48125;1.35500726077792;131.334370053125;512.125085888349;12.6466666666666;9333.28332086284;85.5597169782144;15.3866666666666;9.14134214199589;2.90057966091299
1940Q1;5.32739161675;36699.03125;49.3343749999999;1.34429299998522;131.63438033125;521.662981403974;12.2233333333333;9092.75978783471;84.9985844522479;15.41;9.11523374811476;2.90237077900419
1940Q2;5.3710695375;37366.21875;50.8906249999999;1.36191019423575;131.94063186875;520.344374825991;10.84;7959.40881115364;79.0098241179181;14.9;8.98211000612471;2.86270436336018
1940Q3;5.41474745825;38198.59375;52.9781249999999;1.38686259728221;132.25313186875;516.357792787309;10.2733333333333;7407.60718002318;75.852225754643;14.1233333333333;8.91026274846531;2.80008630354992
1940Q4;5.458425379;39196.15625;55.5968749999999;1.4183573331717;132.57188033125;510.191401854758;10.7466666666666;7576.84006373425;76.2864066855171;14.14;8.93285151358325;2.8014597836601
1941Q1;5.344008217;40723.125;58.840625;1.44480482032106;132.881246490624;491.49785711076;10.13;7011.32765998728;71.9941989010418;11.9033333333333;8.85528235724361;2.60355396249265
1941Q2;5.229591055;41905.375;62.484375;1.49097633256486;133.218744184374;467.263991874686;9.61;6445.44101076933;67.2994798685403;10.9966666666666;8.771128339839;2.51408856034616
1941Q3;5.115173893;43107.125;66.621875;1.54537435451488;133.568742646874;442.111222638092;10.2366666666666;6624.06920158842;66.4098012449938;9.24333333333333;8.79846514311023;2.32089082460926
1941Q4;5.000756731;44328.375;71.253125;1.6072472433003;133.931241878124;416.710970950522;9.32;5798.73447526495;60.2816224711005;7.36;8.66539497880692;2.07250910490419
1942Q1;5.04242605175;45432.5625;77.01875;1.69507989576497;134.290618315625;399.479997368934;8.58666666666666;5065.64126453261;55.2237383853435;6.68333333333333;8.53023601568411;1.96878832394577
1942Q2;5.0840953725;46747.4375;82.38125;1.76212036206323;134.684368509375;388.593304650791;8.03333333333333;4558.90159735018;51.8015842324731;5.08666666666666;8.42483699571864;1.6788287286588
