,IRS.M.AT.L.L40.CI.0000.EUR.N.Z,IRS.M.BE.L.L40.CI.0000.EUR.N.Z,IRS.M.BG.L.L40.CI.0000.BGN.N.Z,IRS.M.CY.L.L40.CI.0000.EUR.N.Z,IRS.M.CZ.L.L40.CI.0000.CZK.N.Z,IRS.M.DE.L.L40.CI.0000.EUR.N.Z,IRS.M.DK.L.L40.CI.0000.DKK.N.Z,IRS.M.ES.L.L40.CI.0000.EUR.N.Z,IRS.M.FI.L.L40.CI.0000.EUR.N.Z,IRS.M.FR.L.L40.CI.0000.EUR.N.Z,IRS.M.GB.L.L40.CI.0000.GBP.N.Z,IRS.M.GR.L.L40.CI.0000.EUR.N.Z,IRS.M.HR.L.L40.CI.0000.HRK.N.Z,IRS.M.HU.L.L40.CI.0000.HUF.N.Z,IRS.M.IE.L.L40.CI.0000.EUR.N.Z,IRS.M.IT.L.L40.CI.0000.EUR.N.Z,IRS.M.LT.L.L40.CI.0000.EUR.N.Z,IRS.M.LU.L.L40.CI.0000.EUR.N.Z,IRS.M.LV.L.L40.CI.0000.EUR.N.Z,IRS.M.MT.L.L40.CI.0000.EUR.N.Z,IRS.M.NL.L.L40.CI.0000.EUR.N.Z,IRS.M.PL.L.L40.CI.0000.PLN.N.Z,IRS.M.PT.L.L40.CI.0000.EUR.N.Z,IRS.M.RO.L.L40.CI.0000.RON.N.Z,IRS.M.SE.L.L40.CI.0000.SEK.N.Z,IRS.M.SI.L.L40.CI.0000.EUR.N.Z,IRS.M.SK.L.L40.CI.0000.EUR.N.Z
,"Austria, Euro","Belgium, Euro","Bulgaria, Bulgarian lev","Cyprus, Euro","Czech Republic, Czech koruna","Germany, Euro","Denmark, Danish krone","Spain, Euro","Finland, Euro","France, Euro","United Kingdom (GB), UK pound sterling","Greece (GR), Euro","Croatia, Croatian kuna","Hungary, Hungarian forint","Ireland, Euro","Italy, Euro","Lithuania, Euro","Luxembourg, Euro","Latvia, Euro","Malta, Euro","Netherlands, Euro","Poland, Polish zloty","Portugal, Euro","Romania, Romanian leu","Sweden, Swedish krona","Slovenia, Euro","Slovakia, Euro"
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ]
2007Apr,4.21,4.22,4.28,4.44,4.01,4.15,4.18,4.21,4.20,4.21,5.11,4.40,4.47,6.65,4.19,4.37,4.18,4.26,5.52,4.44,4.19,5.28,4.30,7.39,4.04,4.41,4.26
2007Mar,3.99,4.01,4.22,4.47,3.87,3.94,3.96,4.01,3.98,4.00,4.88,4.20,4.48,6.79,3.97,4.18,4.24,4.02,5.14,4.38,3.98,5.19,4.10,7.53,3.79,4.34,4.24
2007Feb,4.09,4.11,4.24,4.42,3.89,4.05,4.05,4.10,4.08,4.10,4.97,4.30,4.67,6.96,4.07,4.28,4.28,3.91,5.07,4.38,4.07,5.19,4.19,7.52,3.93,4.34,4.28
2007Jan,4.06,4.06,4.27,4.36,3.94,4.02,4.00,4.07,4.05,4.07,4.94,4.28,4.75,6.96,4.04,4.26,4.28,3.83,4.92,4.34,4.05,5.17,4.18,7.39,3.90,4.23,4.25
2006Dec,3.81,3.82,4.18,4.26,3.77,3.77,3.78,3.82,3.82,3.81,4.54,4.04,4.72,6.81,3.76,4.04,4.28,3.77,4.90,4.33,3.82,5.14,3.96,7.42,3.65,3.90,4.15
2006Nov,3.76,3.76,4.38,4.26,3.87,3.71,3.78,3.75,3.75,3.74,4.45,3.98,4.70,7.01,3.72,3.97,4.28,3.72,4.95,4.34,3.75,5.20,3.89,7.56,3.62,3.99,4.25
2006Oct,3.83,3.83,4.26,4.26,3.92,3.79,3.88,3.81,3.84,3.81,4.51,4.08,4.75,7.47,3.78,4.07,4.28,3.67,4.55,4.34,3.82,5.40,3.98,7.56,3.73,4.02,4.42
2006Sep,3.79,3.79,4.40,4.28,3.92,3.75,3.79,3.76,3.80,3.77,4.44,4.06,4.69,7.58,3.76,4.04,4.28,3.67,4.38,4.34,3.78,5.48,3.93,7.49,3.70,3.98,4.79
2006Aug,3.92,3.92,4.66,4.28,3.87,3.88,3.93,3.89,3.94,3.90,4.49,4.19,4.64,7.49,3.88,4.17,4.28,3.58,4.36,4.34,3.90,5.62,4.06,7.41,3.84,3.92,5.13
2006Jul,4.05,4.04,4.43,4.21,4.03,4.01,4.06,4.02,4.07,4.03,4.49,4.33,4.64,7.55,4.00,4.31,4.28,3.49,4.32,4.31,3.99,5.56,4.14,7.11,3.96,3.86,5.42
2006Jun,4.03,4.02,4.35,4.03,4.04,3.96,4.03,3.99,4.02,4.01,4.50,4.31,4.51,7.26,3.98,4.30,4.34,3.38,4.14,4.27,3.97,5.55,4.10,7.12,3.93,3.86,4.66
2006May,4.03,4.03,4.34,4.07,3.93,3.96,4.02,3.99,3.94,4.00,4.49,4.30,4.44,6.85,3.96,4.29,4.13,3.08,3.60,4.24,3.96,5.27,4.07,7.04,3.89,3.73,4.50
2006Apr,3.92,3.96,3.96,4.07,3.85,3.89,3.98,3.92,3.88,3.95,4.37,4.23,4.20,7.00,3.90,4.22,3.92,2.82,3.60,4.19,3.92,5.03,4.03,6.94,3.84,3.73,4.27
2006Mar,3.65,3.70,3.90,3.97,3.58,3.64,3.70,3.66,3.62,3.69,4.19,3.95,3.91,7.00,3.65,3.92,3.75,2.82,3.60,4.35,3.66,4.79,3.77,7.07,3.55,3.80,4.01
2006Feb,3.48,3.54,3.68,3.96,3.43,3.47,3.48,3.48,3.44,3.51,4.05,3.77,3.93,6.71,3.47,3.70,3.53,2.82,3.60,4.38,3.48,4.79,3.60,6.97,3.42,3.72,3.75
2006Jan,3.33,3.37,3.66,3.96,3.39,3.32,3.31,3.33,3.28,3.34,3.97,3.60,4.04,6.66,3.32,3.54,3.62,2.82,3.60,4.39,3.33,4.95,3.45,7.07,3.33,3.73,3.59
2005Dec,3.36,3.39,3.49,4.09,3.61,3.34,3.35,3.37,3.30,3.38,4.27,3.57,4.42,6.89,3.36,3.55,3.79,2.74,3.59,4.39,3.35,5.16,3.46,7.15,3.37,3.69,3.62
2005Nov,3.48,3.49,3.49,4.22,3.78,3.45,3.46,3.48,3.40,3.50,4.37,3.67,,6.81,3.40,3.66,3.64,2.65,3.56,4.39,3.48,5.38,3.58,6.98,3.39,3.62,3.70
2005Oct,3.27,3.30,3.49,4.22,3.45,3.24,3.22,3.28,3.19,3.29,4.40,3.45,,6.49,3.19,3.44,3.50,2.42,3.87,4.41,3.28,4.91,3.39,6.84,3.17,3.62,3.25
2005Sep,3.12,3.14,3.60,4.81,3.25,3.07,3.05,3.09,3.05,3.13,4.25,3.30,,5.64,3.04,3.29,3.50,2.20,3.87,4.41,3.12,4.57,3.23,7.13,2.98,3.74,3.13
2005Aug,3.28,3.31,3.66,4.84,3.36,3.23,3.24,3.23,3.21,3.30,4.34,3.47,,5.85,3.22,3.45,3.50,2.25,3.87,4.43,3.28,4.88,3.39,7.13,3.14,3.79,3.24
2005Jul,3.27,3.30,3.68,4.84,3.34,3.20,3.21,3.22,3.18,3.27,4.31,3.46,,6.13,3.18,3.44,3.61,2.17,3.87,4.55,3.27,4.72,3.35,7.13,3.06,3.78,3.22
2005Jun,3.23,3.26,3.90,5.13,3.31,3.13,3.16,3.18,3.16,3.20,4.31,3.44,,6.59,3.13,3.41,3.78,2.12,3.87,4.56,3.13,4.91,3.19,7.07,3.11,3.90,3.36
2005May,3.41,3.43,4.16,5.84,3.49,3.30,3.39,3.36,3.33,3.38,4.45,3.60,,7.00,3.28,3.55,3.87,2.28,3.87,4.66,3.30,5.35,3.35,6.75,3.34,3.92,3.54
2005Apr,3.50,3.60,4.16,5.87,3.70,3.48,3.58,3.53,3.51,3.54,4.67,3.76,,6.91,3.46,3.65,3.82,2.45,3.87,4.71,3.48,5.49,3.50,6.75,3.58,3.95,3.76
2005Mar,3.70,3.76,4.17,5.89,3.69,3.70,3.82,3.74,3.72,3.75,4.87,3.92,,6.83,3.66,3.84,3.73,2.58,3.94,4.72,3.69,5.55,3.70,,3.86,3.88,3.60
2005Feb,3.55,3.57,4.21,6.06,3.62,3.54,3.64,3.58,3.57,3.60,4.66,3.69,,6.84,3.51,3.68,3.80,2.56,4.03,4.72,3.55,5.73,3.55,,3.76,3.92,3.80
2005Jan,3.56,3.59,4.48,6.13,3.91,3.56,3.74,3.59,3.60,3.58,4.60,3.69,,7.21,3.52,3.71,3.85,2.55,4.29,4.71,3.56,5.97,3.56,,3.84,3.87,4.04
2004Dec,3.63,3.66,5.01,6.26,4.14,3.58,3.85,3.64,3.68,3.64,4.58,3.77,,7.17,3.62,3.79,3.95,2.54,4.58,4.70,3.63,6.00,3.64,,3.90,4.07,4.58
2004Nov,3.84,3.85,5.13,6.45,4.63,3.78,4.09,3.85,3.89,3.86,4.74,3.97,,7.64,3.80,4.00,4.25,2.59,4.58,4.70,3.85,6.45,3.86,,4.13,4.30,4.92
2004Oct,3.97,3.98,5.24,6.58,4.89,3.89,4.23,3.97,4.01,3.98,4.81,4.11,,8.23,3.92,4.13,4.38,2.69,4.63,4.71,3.96,6.80,3.99,,4.25,4.47,5.08
2004Sep,4.09,4.11,5.30,6.58,5.09,4.02,4.38,4.08,4.14,4.09,4.95,4.22,,8.58,4.04,4.25,4.56,2.83,4.87,4.70,4.09,6.96,4.12,,4.37,4.63,5.04
2004Aug,4.15,4.18,5.30,6.58,5.09,4.08,4.45,4.15,4.21,4.11,5.03,4.28,,8.44,4.09,4.28,4.57,2.86,4.88,4.70,4.15,7.36,4.18,,4.42,4.66,5.02
2004Jul,4.31,4.34,5.30,6.58,5.17,4.24,4.62,4.28,4.37,4.27,5.14,4.44,,8.47,4.27,4.44,4.58,3.04,4.89,4.65,4.31,7.44,4.35,,4.57,4.64,5.03
2004Jun,4.42,4.46,5.30,5.49,5.09,4.31,4.53,4.39,4.48,4.39,5.24,4.55,,8.55,4.38,4.54,4.47,3.12,4.93,4.65,4.42,7.27,4.47,,4.72,4.69,5.09
2004May,4.37,4.40,5.30,5.17,4.95,4.25,4.46,4.33,4.25,4.34,5.15,4.49,,8.25,4.31,4.49,4.46,3.05,4.95,4.65,4.37,7.32,4.42,,4.68,4.77,5.13
2004Apr,4.24,4.26,5.36,5.17,4.68,4.10,4.30,4.20,4.10,4.18,4.99,4.35,,7.89,4.17,4.35,4.55,2.77,4.89,4.65,4.13,7.02,4.25,,4.55,4.83,5.06
2004Mar,4.05,4.07,5.48,5.17,4.59,3.91,4.10,4.01,3.92,3.98,4.76,4.17,,8.04,3.97,4.17,4.64,2.69,4.98,4.70,3.93,6.65,4.00,,4.31,4.99,5.09
2004Feb,4.23,4.26,5.54,4.79,4.85,4.11,4.30,4.15,4.11,4.14,4.88,4.35,,8.65,4.15,4.34,4.81,2.94,5.05,4.70,4.12,6.82,4.19,,4.55,5.01,5.11
2004Jan,4.27,4.26,6.06,4.75,4.68,4.17,4.35,4.19,4.16,4.20,4.84,4.37,,8.36,4.20,4.32,4.81,3.01,5.06,4.71,4.18,6.67,4.25,,4.65,5.14,5.16
2003Dec,4.38,4.38,6.06,4.75,4.82,4.29,4.52,4.34,4.33,4.34,4.94,4.45,,8.24,4.36,4.46,4.81,3.29,5.07,4.71,4.33,6.76,4.40,,4.86,5.27,5.42
2003Nov,4.44,4.43,6.06,4.75,4.75,4.35,4.57,4.40,4.39,4.41,5.10,4.51,,7.82,4.39,4.51,4.81,3.38,5.01,4.70,4.41,6.90,4.48,,4.98,5.54,5.36
2003Oct,4.32,4.31,6.06,4.64,4.47,4.22,4.44,4.27,4.26,4.28,4.96,4.38,,7.08,4.25,4.38,4.82,3.20,4.98,4.68,4.27,6.36,4.36,,4.85,6.16,5.08
2003Sep,4.24,4.25,5.91,4.59,4.26,4.17,4.40,4.21,4.20,4.23,4.76,4.32,,7.06,4.19,4.31,5.04,3.22,4.96,4.73,4.21,5.93,4.29,,4.73,6.65,5.02
2003Aug,4.22,4.22,5.91,4.59,4.23,4.13,4.35,4.19,4.18,4.16,4.64,4.29,,7.11,4.17,4.29,5.04,3.18,4.80,4.78,4.19,5.61,4.26,,4.70,6.65,4.92
2003Jul,4.06,4.06,5.95,4.59,4.06,3.97,4.17,4.03,4.01,4.01,4.47,4.12,,6.86,4.01,4.13,5.38,2.85,4.78,4.95,4.04,5.37,4.10,,4.51,6.65,4.80
2003Jun,3.76,3.74,6.78,4.63,3.49,3.62,3.85,3.69,3.70,3.69,4.19,3.81,,6.33,3.69,3.82,5.50,2.85,4.89,5.11,3.72,5.03,3.77,,4.20,6.65,4.70
2003May,3.85,3.95,6.78,4.63,3.73,3.82,4.09,3.88,3.91,3.89,4.31,4.02,,5.97,3.89,4.04,5.63,3.55,4.95,5.14,3.91,5.12,3.91,,4.37,6.65,4.72
2003Apr,4.16,4.29,6.79,4.80,3.92,4.15,4.41,4.19,4.23,4.22,4.56,4.38,,6.33,4.22,4.31,5.65,3.55,4.99,5.25,4.23,5.41,4.18,,4.72,6.65,4.90
2003Mar,4.03,4.15,6.93,4.83,3.75,4.00,4.26,4.04,4.09,4.10,4.41,4.26,,6.41,4.09,4.19,5.67,3.55,4.99,5.40,4.01,5.52,4.08,,4.57,6.65,5.01
2003Feb,4.01,4.11,6.93,4.83,3.81,3.95,4.21,4.01,4.05,4.01,4.29,4.24,,6.34,4.06,4.16,5.67,3.55,4.77,5.51,3.97,5.66,4.04,,4.47,6.65,4.92
2003Jan,4.22,4.28,7.20,5.29,4.10,4.18,4.43,4.24,4.26,4.22,4.31,4.43,,6.33,4.27,4.38,5.85,3.62,4.62,5.54,4.19,5.66,4.27,,4.70,6.65,4.98
2002Dec,4.43,4.46,,5.37,4.15,4.33,4.61,4.43,4.45,4.38,4.49,4.58,,6.50,4.46,4.55,5.87,3.97,4.53,5.55,4.36,5.73,4.45,,4.89,6.65,5.12
2002Nov,4.62,4.64,,5.37,4.21,4.48,4.79,4.60,4.66,4.53,4.55,4.76,,6.76,4.67,4.74,5.87,4.11,4.79,5.57,4.56,5.95,4.66,,5.05,7.10,5.43
2002Oct,4.64,4.66,,5.37,4.29,4.46,4.81,4.63,4.68,4.55,4.53,4.79,,7.21,4.70,4.76,5.87,4.11,4.88,5.56,4.58,6.26,4.70,,5.07,8.90,6.11
2002Sep,4.57,4.60,,5.37,4.48,4.38,4.74,4.57,4.61,4.46,4.45,4.73,,7.38,4.63,4.62,5.92,4.33,5.14,5.74,4.50,6.78,4.63,,4.97,8.91,6.60
2002Aug,4.77,4.80,,5.37,4.57,4.59,4.88,4.78,4.81,4.67,4.67,4.95,,7.47,4.84,4.83,6.00,4.70,5.34,5.74,4.71,7.26,4.85,,5.13,8.94,7.24
2002Jul,5.06,5.09,,5.37,4.79,4.87,5.13,5.07,5.10,4.96,5.02,5.21,,7.68,5.11,5.11,6.00,4.87,5.34,5.77,4.99,7.59,5.12,,5.37,9.08,7.64
2002Jun,5.22,5.24,,5.37,5.13,5.02,5.27,5.23,5.26,5.11,5.19,5.37,,7.56,5.25,5.26,6.10,5.09,5.38,5.83,5.16,7.55,5.26,,5.52,9.19,7.83
2002May,5.37,5.38,,5.37,5.30,5.17,5.42,5.36,5.40,5.26,5.35,5.52,,7.11,5.41,5.41,6.15,5.15,5.59,5.85,5.31,8.02,5.40,,5.69,9.22,7.68
2002Apr,5.35,5.37,,5.37,5.42,5.15,5.40,5.34,5.32,5.24,5.33,5.51,,6.82,5.41,5.40,6.15,5.19,5.78,5.88,5.25,8.21,5.39,,5.69,9.52,7.47
2002Mar,5.36,5.37,,5.37,5.55,5.16,5.40,5.34,5.33,5.24,5.34,5.50,,6.94,5.42,5.41,5.92,5.16,5.80,6.04,5.27,8.33,5.39,,5.63,9.62,7.37
2002Feb,5.12,5.15,,7.11,5.31,4.92,5.15,5.11,5.10,4.99,5.04,5.31,,6.82,5.20,5.20,6.43,4.91,5.98,6.12,5.03,8.33,5.15,,5.36,,7.32
2002Jan,5.06,5.08,,7.55,5.32,4.86,5.08,5.05,5.05,4.93,5.02,5.24,,6.77,5.02,5.14,6.47,4.84,6.35,6.18,4.97,8.26,5.08,,5.27,,7.41
2001Dec,4.95,4.97,,7.55,5.43,4.74,4.97,4.97,4.98,4.87,4.94,5.13,,7.07,4.93,5.05,6.34,4.51,6.93,6.24,4.89,8.88,5.01,,5.24,,7.75
2001Nov,4.70,4.75,,7.55,5.40,4.45,4.67,4.76,4.69,4.57,4.67,4.90,,7.38,4.63,4.80,6.28,4.29,7.08,6.27,4.62,9.04,4.76,,4.96,,7.97
2001Oct,4.85,4.89,,7.55,5.84,4.60,4.86,4.91,4.83,4.72,4.86,5.07,,7.98,4.77,4.96,7.62,4.41,7.48,6.30,4.77,10.31,4.92,,5.17,,8.08
2001Sep,5.08,5.14,,7.55,6.47,4.81,5.11,5.14,5.06,4.94,5.02,5.31,,7.94,5.01,5.20,7.99,4.67,7.58,6.30,4.98,11.49,5.17,,5.26,,8.10
2001Aug,5.10,5.15,,7.55,6.76,4.82,5.12,5.16,5.06,4.95,5.07,5.33,,7.76,5.01,5.22,8.01,4.81,7.66,6.29,4.98,11.86,5.19,,5.16,,7.99
2001Jul,5.29,5.35,,7.69,6.85,5.02,5.32,5.35,5.27,5.15,5.30,5.51,,7.77,5.23,5.42,8.46,5.05,7.75,6.17,5.17,11.79,5.39,,5.42,,8.04
2001Jun,5.27,5.33,,7.70,6.72,5.00,5.33,5.33,5.26,5.15,5.30,5.48,,7.80,5.23,5.40,8.46,5.15,7.60,6.14,5.17,11.66,5.38,,5.38,,8.05
2001May,5.34,5.38,,7.71,6.49,5.05,5.35,5.36,5.29,5.21,5.21,5.54,,8.07,5.28,5.45,8.46,5.30,7.54,6.11,5.22,11.26,5.42,,5.27,,8.02
2001Apr,5.16,5.21,,7.63,6.25,4.83,5.14,5.18,5.10,5.00,5.03,5.39,,8.61,5.09,5.28,8.50,5.05,7.90,6.11,5.02,10.61,5.27,,4.93,,8.00
2001Mar,5.01,5.08,,7.66,6.24,4.67,4.95,5.04,4.94,4.84,4.82,5.28,,8.57,4.92,5.13,8.64,4.93,7.90,6.11,4.83,10.62,5.09,,4.75,,8.09
2001Feb,5.10,5.16,,7.68,6.50,4.78,5.06,5.12,5.02,4.93,4.95,5.35,,8.34,5.01,5.18,9.77,5.08,7.82,6.11,4.92,10.23,5.14,,4.86,,8.17
2001Jan,5.10,5.16,,7.68,6.82,4.80,5.09,5.08,5.02,4.94,4.94,5.35,,8.05,5.03,5.18,9.31,5.06,7.64,6.11,4.93,10.43,5.16,,4.89,,8.25
2000Dec,5.21,5.28,,,,4.89,5.20,5.20,5.14,5.04,4.95,5.54,,,5.14,5.30,,5.21,,,5.03,,5.28,,4.92,,
2000Nov,5.46,5.52,,,,5.15,5.49,5.45,5.40,5.29,5.11,5.87,,,5.40,5.55,,5.57,,,5.30,,5.53,,5.13,,
2000Oct,5.52,5.58,,,,5.21,5.57,5.50,5.45,5.36,5.20,5.97,,,5.46,5.58,,5.51,,,5.35,,5.58,,5.23,,
2000Sep,5.57,5.63,,,,5.26,5.66,5.56,5.49,5.42,5.38,6.05,,,5.52,5.63,,5.57,,,5.41,,5.63,,5.26,,
2000Aug,5.54,5.56,,,,5.21,5.64,5.50,5.43,5.36,5.32,6.04,,,5.47,5.56,,5.49,,,5.36,,5.57,,5.31,,
2000Jul,5.60,5.60,,,,5.27,5.76,5.53,5.48,5.40,5.24,6.08,,,5.52,5.59,,5.57,,,5.40,,5.61,,5.31,,
2000Jun,5.52,5.53,,,,5.19,5.67,5.45,5.39,5.32,5.21,6.06,,,5.43,5.51,,5.38,,,5.31,,5.54,,5.13,,
2000May,5.66,5.69,,,,5.38,5.77,5.63,5.59,5.50,5.41,6.18,,,5.61,5.67,,5.60,,,5.50,,5.68,,5.34,,
2000Apr,5.49,5.52,,,,5.22,5.57,5.45,5.46,5.33,5.30,6.09,,,5.46,5.47,,5.42,,,5.38,,5.52,,5.42,,
2000Mar,5.59,5.62,,,,5.33,5.65,5.55,5.50,5.43,5.34,6.24,,,5.58,5.58,,5.56,,,5.48,,5.61,,5.51,,
2000Feb,5.77,5.79,,,,5.51,5.85,5.73,5.72,5.62,5.63,6.48,,,5.76,5.73,,5.71,,,5.66,,5.78,,5.90,,
2000Jan,5.75,5.79,,,,5.54,5.87,5.76,5.75,5.66,5.83,6.60,,,5.80,5.75,,5.65,,,5.67,,5.81,,5.95,,
1999Dec,5.35,5.41,,,,5.15,5.50,5.37,5.37,5.27,5.36,6.39,,,5.39,5.36,,5.26,,,5.28,,5.46,,5.59,,
1999Nov,5.27,5.30,,,,5.04,5.45,5.28,5.27,5.15,5.23,6.61,,,5.31,5.25,,5.27,,,5.18,,5.36,,5.56,,
1999Oct,5.53,5.58,,,,5.29,5.76,5.56,5.56,5.43,5.78,7.03,,,5.57,5.52,,5.54,,,5.45,,5.62,,5.92,,
1999Sep,5.27,5.34,,,,5.04,5.56,5.32,5.32,5.19,5.60,6.64,,,5.34,5.28,,5.31,,,5.22,,5.41,,5.69,,
1999Aug,5.10,5.18,,,,4.88,5.38,5.17,5.15,5.01,5.31,6.66,,,5.16,5.13,,5.18,,,5.03,,5.22,,5.49,,
1999Jul,4.87,4.94,,,,4.68,5.12,4.91,4.92,4.81,5.27,6.37,,,4.94,4.94,,4.87,,,4.82,,4.99,,5.26,,
1999Jun,4.54,4.64,,,,4.36,4.81,4.61,4.58,4.47,5.09,6.02,,,4.59,4.62,,4.37,,,4.51,,4.66,,4.87,,
1999May,4.21,4.29,,,,4.01,4.46,4.28,4.24,4.16,4.83,5.75,,,4.18,4.28,,4.16,,,4.19,,4.32,,4.50,,
1999Apr,4.03,4.11,,,,3.85,4.22,4.09,4.07,3.98,4.54,5.85,,,3.95,4.11,,4.01,,,4.00,,4.13,,4.24,,
1999Mar,4.16,4.26,,,,4.04,4.43,4.26,4.26,4.13,4.60,5.97,,,4.19,4.27,,4.17,,,4.14,,4.24,,4.44,,
1999Feb,3.98,4.04,,,,3.85,4.19,4.02,4.04,3.93,4.37,5.96,,,4.02,4.05,,3.93,,,3.93,,4.02,,4.18,,
1999Jan,3.84,3.90,,,,3.70,4.04,3.88,3.91,3.77,4.20,6.32,,,3.89,3.92,,3.91,,,3.80,,3.90,,4.02,,
1998Dec,4.05,4.09,,,,3.86,4.27,4.07,4.06,3.91,4.54,7.17,,,4.02,4.00,,4.10,,,3.95,,4.12,,4.22,,
1998Nov,4.33,4.33,,,,4.12,4.59,4.41,4.41,4.18,4.93,7.65,,,4.32,4.38,,4.28,,,4.19,,4.43,,4.55,,
1998Oct,4.30,4.28,,,,4.06,4.67,4.43,4.45,4.17,4.99,8.45,,,4.35,4.49,,4.30,,,4.14,,4.44,,4.72,,
1998Sep,4.31,4.34,,,,4.06,4.74,4.48,4.45,4.20,5.16,8.25,,,4.38,4.53,,4.36,,,4.19,,4.46,,4.79,,
1998Aug,4.62,4.66,,,,4.42,4.81,4.74,4.68,4.52,5.63,7.56,,,4.68,4.79,,4.56,,,4.53,,4.76,,4.80,,
1998Jul,4.83,4.88,,,,4.68,4.91,4.94,4.86,4.78,5.92,7.67,,,4.93,4.97,,4.84,,,4.76,,4.95,,4.88,,
1998Jun,4.89,4.96,,,,4.80,4.99,5.02,4.95,4.86,5.87,7.74,,,5.03,5.08,,4.94,,,4.85,,5.06,,4.97,,
1998May,5.03,5.09,,,,4.96,5.24,5.13,5.08,5.01,5.92,7.85,,,5.14,5.21,,5.06,,,5.00,,5.18,,5.20,,
1998Apr,4.97,5.03,,,,4.90,5.13,5.06,5.01,4.96,5.88,8.11,,,5.05,5.15,,4.99,,,4.95,,5.17,,5.21,,
1998Mar,4.97,5.03,,,,4.90,5.17,5.09,5.04,4.95,6.05,9.27,,,5.08,5.20,,5.00,,,4.94,,5.25,,5.35,,
1998Feb,5.07,5.11,,,,4.99,5.32,5.24,5.16,5.03,6.10,11.04,,,5.23,5.38,,5.08,,,5.01,,5.32,,5.53,,
1998Jan,5.19,5.22,,,,5.11,5.42,5.40,5.30,5.11,6.16,11.03,,,5.35,5.43,,5.21,,,5.07,,5.41,,5.65,,
1997Dec,5.40,5.45,,,,5.33,5.74,5.64,5.58,5.32,6.43,10.48,,,5.61,5.74,,5.43,,,5.29,,5.67,,6.03,,
1997Nov,5.63,5.68,,,,5.56,6.06,5.96,5.79,5.57,6.70,10.76,,,5.98,6.13,,5.61,,,5.54,,5.96,,6.30,,
1997Oct,5.62,5.69,,,,5.58,6.07,5.98,5.75,5.59,6.57,9.30,,,5.99,6.20,,5.60,,,5.57,,5.98,,6.22,,
1997Sep,5.63,5.69,,,,5.59,6.16,6.09,5.83,5.52,6.88,9.43,,,6.10,6.36,,5.60,,,5.55,,6.13,,6.38,,
1997Aug,5.70,5.75,,,,5.66,6.24,6.31,5.90,5.58,7.17,9.63,,,6.33,6.66,,5.62,,,5.60,,6.35,,6.53,,
1997Jul,5.61,5.64,,,,5.56,6.11,6.21,5.86,5.47,7.13,9.42,,,6.26,6.52,,5.57,,,5.49,,6.26,,6.44,,
1997Jun,5.78,5.83,,,,5.72,6.40,6.47,6.09,5.65,7.24,9.15,,,6.49,7.07,,5.69,,,5.62,,6.41,,6.80,,
1997May,5.79,5.90,,,,5.76,6.44,6.61,6.16,5.69,7.25,8.92,,,6.54,7.32,,5.59,,,5.70,,6.49,,7.01,,
1997Apr,5.90,6.02,,,,5.87,6.62,6.95,6.36,5.80,7.74,9.33,,,6.69,7.74,,5.70,,,5.79,,6.80,,7.24,,
1997Mar,5.71,5.85,,,,5.71,6.47,7.03,6.12,5.65,7.55,9.45,,,6.62,7.87,,5.59,,,5.65,,6.87,,7.10,,
1997Feb,5.58,5.65,,,,5.55,6.25,6.74,5.91,5.46,7.29,10.87,,,6.32,7.36,,5.45,,,5.47,,6.66,,6.68,,
1997Jan,5.84,5.89,,,,5.80,6.49,6.83,6.14,5.68,7.66,12.29,,,6.59,7.38,,5.72,,,5.66,,6.72,,6.74,,
1996Dec,5.86,5.90,,,,5.79,6.63,7.00,6.34,5.74,7.68,12.42,,,6.61,7.57,,5.81,,,5.72,,6.95,,6.85,,
1996Nov,5.95,6.00,,,,5.86,6.79,7.34,6.47,5.83,7.69,13.36,,,6.68,7.69,,5.89,,,5.76,,7.17,,7.26,,
1996Oct,6.06,6.10,,,,6.01,6.83,7.76,6.51,5.97,7.64,14.00,,,6.78,8.23,,5.93,,,5.88,,7.59,,7.19,,
1996Sep,6.30,6.45,,,,6.23,7.18,8.43,6.92,6.23,7.95,14.23,,,7.21,9.17,,6.25,,,6.10,,8.32,,7.79,,
1996Aug,6.41,6.62,,,,6.30,7.26,8.86,7.16,6.34,7.96,14.46,,,7.43,9.48,,6.35,,,6.24,,8.71,,8.10,,
1996Jul,6.58,6.78,,,,6.48,7.36,8.78,7.07,6.44,8.06,14.61,,,7.49,9.43,,6.53,,,6.41,,8.71,,8.26,,
