"DATES" "FL664090005.Q" "FL663020003.Q" "FL662051003.Q" "FL664022005.Q" "FL663069103.Q" "FL663061105.Q" "FL663061703.Q" "FL663062003.Q" "FL663063005.Q" "FL663069005.Q" "LM663064103.Q" "FL663092003.Q" "FL663090005.Q" "FL664190005.Q" "FL662151003.Q" "FL663163003.Q" "FL664123005.Q" "FL663168005.Q" "FL153067005.Q" "FL663170003.Q" "FL663178003.Q" "FL663192003.Q" "FL663190005.Q" "FL663194005.Q" "FL663193005.Q"
"197403" 17444.00 771.00 0.00 6822.00 2750.00 1723.00 0.00 605.00 1744.00 7732.00 2119.00 1038.00 -1038.00 14578.00 0.00 0.00 12594.00 9550.00 3044.00 850.00 68.00 365.00 701.00 5000.00 -4299.00
"197404" 18249.00 752.00 0.00 7750.00 3000.00 2256.00 0.00 705.00 1789.00 7583.00 2164.00 1050.00 -1050.00 15289.00 0.00 0.00 13150.00 9717.00 3433.00 870.00 45.00 521.00 703.00 5250.00 -4547.00
"197501" 17950.00 740.00 500.00 7625.00 3250.00 2713.00 0.00 532.00 1130.00 7581.00 1504.00 1062.00 -1062.00 14755.00 800.00 0.00 12286.00 9504.00 2782.00 890.00 61.00 536.00 182.00 6000.00 -5818.00
"197502" 19318.00 730.00 1000.00 7695.00 3500.00 1813.00 0.00 573.00 1809.00 7709.00 2184.00 1074.00 -1074.00 15888.00 1600.00 0.00 13116.00 9530.00 3586.00 910.00 15.00 551.00 -304.00 6500.00 -6804.00
"197503" 18769.00 729.00 1500.00 6863.00 3750.00 1254.00 0.00 587.00 1272.00 8030.00 1647.00 1086.00 -1086.00 15104.00 2300.00 0.00 11934.00 10415.00 1519.00 930.00 52.00 566.00 -678.00 4268.00 -4946.00
"197504" 23486.00 738.00 2000.00 8775.00 4000.00 1152.00 0.00 631.00 2992.00 8605.00 3368.00 1099.00 -1099.00 19589.00 3000.00 0.00 16034.00 11312.00 4722.00 950.00 80.00 584.00 -1059.00 5087.00 -6146.00
"197601" 26792.00 903.00 2491.00 9284.00 3999.00 2719.00 0.00 1131.00 1435.00 9959.00 1302.00 1111.00 1742.00 23142.00 3923.00 0.00 15229.00 10432.00 4797.00 970.00 297.00 586.00 2137.00 5563.00 -3426.00
"197602" 28636.00 1011.00 3206.00 8972.00 3492.00 2571.00 0.00 1262.00 1647.00 11223.00 1328.00 1124.00 1772.00 24961.00 4653.00 0.00 16037.00 12156.00 3881.00 990.00 199.00 629.00 2453.00 5674.00 -3221.00
"197603" 32975.00 964.00 3531.00 12754.00 4287.00 5143.00 0.00 1368.00 1956.00 11645.00 1292.00 1137.00 1652.00 29369.00 8996.00 0.00 16272.00 13107.00 3165.00 1010.00 185.00 672.00 2234.00 5798.00 -3564.00
"197604" 39485.00 1018.00 5344.00 16584.00 7217.00 5604.00 0.00 1672.00 2091.00 12510.00 1542.00 1150.00 1337.00 35779.00 8719.00 0.00 23385.00 15961.00 7424.00 1030.00 208.00 760.00 1677.00 5889.00 -4212.00
"197701" 34231.00 1082.00 6511.00 8715.00 3610.00 1624.00 0.00 1590.00 1891.00 12936.00 1405.00 1163.00 2419.00 30655.00 10452.00 0.00 15957.00 14526.00 1431.00 1050.00 153.00 815.00 2228.00 5946.00 -3718.00
"197702" 37831.00 1130.00 7487.00 10183.00 3810.00 1990.00 0.00 2129.00 2254.00 14024.00 1579.00 1176.00 2252.00 34197.00 11972.00 0.00 17277.00 15006.00 2271.00 1070.00 129.00 875.00 2874.00 6470.00 -3596.00
"197703" 37604.00 1077.00 9860.00 7849.00 3336.00 148.00 0.00 2213.00 2152.00 13981.00 1581.00 1189.00 2067.00 34014.00 12927.00 0.00 16440.00 16722.00 -282.00 1090.00 121.00 935.00 2501.00 6696.00 -4195.00
"197704" 40018.00 1036.00 10066.00 11274.00 6670.00 350.00 0.00 2104.00 2150.00 14527.00 1840.00 1203.00 72.00 36632.00 9924.00 0.00 23789.00 18445.00 5344.00 1100.00 119.00 979.00 721.00 7240.00 -6519.00
"197801" 42773.00 1120.00 10815.00 9026.00 6081.00 -947.00 0.00 1714.00 2178.00 16401.00 1673.00 1177.00 2561.00 39208.00 16863.00 0.00 17667.00 15761.00 1906.00 1120.00 96.00 988.00 2474.00 7900.00 -5426.00
"197802" 45725.00 1102.00 11882.00 8350.00 5383.00 -884.00 0.00 1972.00 1879.00 18950.00 2024.00 1151.00 2266.00 42037.00 16352.00 0.00 20538.00 16940.00 3598.00 1140.00 157.00 1000.00 2850.00 6274.00 -3424.00
"197803" 48340.00 1299.00 13175.00 6745.00 4166.00 -902.00 0.00 1585.00 1896.00 20731.00 2282.00 1126.00 2982.00 44426.00 16480.00 0.00 21999.00 16933.00 5066.00 1160.00 235.00 1001.00 3551.00 6398.00 -2847.00
"197804" 48650.00 1225.00 16130.00 7564.00 5804.00 -1605.00 0.00 1877.00 1488.00 17145.00 1918.00 1101.00 3567.00 44771.00 11434.00 0.00 26971.00 15824.00 11147.00 1190.00 187.00 985.00 4004.00 6738.00 -2734.00
"197901" 48143.00 1374.00 16338.00 7847.00 4960.00 -444.00 0.00 1755.00 1576.00 16326.00 2092.00 1077.00 3089.00 44066.00 20415.00 0.00 18037.00 13763.00 4274.00 1240.00 186.00 905.00 3283.00 7942.00 -4659.00
"197902" 62425.00 1526.00 20791.00 13996.00 8025.00 1998.00 0.00 1904.00 2069.00 18958.00 2237.00 1053.00 3864.00 58208.00 29170.00 0.00 22825.00 16174.00 6651.00 1270.00 185.00 989.00 3769.00 8698.00 -4929.00
"197903" 63129.00 1936.00 22972.00 10125.00 7861.00 -1551.00 0.00 1888.00 1927.00 20249.00 2487.00 1030.00 4330.00 58813.00 28184.00 0.00 23513.00 15037.00 8476.00 1300.00 206.00 1073.00 4537.00 8090.00 -3553.00
"197904" 59323.00 2205.00 26640.00 3946.00 7169.00 -7023.00 0.00 2184.00 1616.00 17458.00 2566.00 1008.00 5500.00 55147.00 18301.00 0.00 29204.00 14805.00 14399.00 1340.00 208.00 1284.00 4810.00 7754.00 -2944.00
"198001" 56315.00 2647.00 19397.00 8109.00 6144.00 -246.00 0.00 1108.00 1103.00 18735.00 2066.00 986.00 4375.00 52083.00 22387.00 0.00 21863.00 13122.00 8741.00 1400.00 239.00 1329.00 4865.00 9401.00 -4536.00
"198002" 66310.00 2711.00 24212.00 12163.00 7913.00 -137.00 0.00 1738.00 2649.00 18620.00 2283.00 964.00 5357.00 61294.00 27756.00 0.00 25235.00 13170.00 12065.00 1500.00 373.00 1371.00 5059.00 18264.00 -13205.00
"198003" 66392.00 2905.00 22023.00 10689.00 6655.00 465.00 0.00 1718.00 1851.00 19972.00 2745.00 943.00 7115.00 61503.00 24543.00 0.00 27258.00 11162.00 16096.00 1600.00 497.00 1692.00 5913.00 18712.00 -12799.00
"198004" 78269.00 2997.00 32911.00 6554.00 6750.00 -4746.00 0.00 2509.00 2041.00 24737.00 3268.00 922.00 6880.00 71998.00 25859.00 0.00 35486.00 13265.00 22221.00 1700.00 483.00 886.00 7584.00 19967.00 -12383.00
"198101" 79034.00 2950.00 25376.00 19065.00 6799.00 8332.00 0.00 1696.00 2238.00 21807.00 3053.00 902.00 5881.00 72448.00 37416.00 0.00 26134.00 11508.00 14626.00 1800.00 419.00 821.00 5858.00 21751.00 -15893.00
"198102" 82127.00 2720.00 29665.00 16750.00 10730.00 1130.00 0.00 2066.00 2824.00 22179.00 3384.00 882.00 6547.00 75205.00 37518.00 0.00 27809.00 14746.00 13063.00 1900.00 374.00 875.00 6729.00 26160.00 -19431.00
"198103" 81665.00 3139.00 34394.00 14043.00 8031.00 1962.00 0.00 1766.00 2284.00 21068.00 2768.00 863.00 5390.00 75061.00 38516.00 0.00 26150.00 13861.00 12289.00 2000.00 334.00 934.00 7127.00 32467.00 -25340.00
"198104" 107485.00 2844.00 47727.00 20949.00 11572.00 2958.00 0.00 3004.00 3415.00 23023.00 3475.00 844.00 8623.00 100256.00 53977.00 0.00 34379.00 16020.00 18359.00 2100.00 324.00 1072.00 8404.00 23147.00 -14743.00
"198201" 90761.00 3398.00 34832.00 21481.00 9425.00 6685.00 0.00 1873.00 3498.00 19250.00 2750.00 957.00 8093.00 83893.00 48778.00 0.00 24932.00 10828.00 14104.00 2200.00 263.00 1250.00 6470.00 25825.00 -19355.00
"198202" 96246.00 3275.00 41500.00 18862.00 13009.00 -722.00 0.00 2431.00 4144.00 19099.00 3274.00 1073.00 9163.00 89441.00 49209.00 0.00 28978.00 11805.00 17173.00 2300.00 263.00 1408.00 7283.00 30115.00 -22832.00
"198203" 108170.00 4557.00 50153.00 17758.00 14399.00 -4991.00 0.00 3108.00 5242.00 20798.00 3283.00 885.00 10736.00 100971.00 57871.00 0.00 30829.00 13275.00 17554.00 2450.00 406.00 1629.00 7786.00 26837.00 -19051.00
"198204" 127013.00 4504.00 43738.00 36187.00 16447.00 9199.00 0.00 4628.00 5913.00 25791.00 4921.00 1008.00 10864.00 118642.00 74247.00 0.00 37888.00 14575.00 23313.00 2600.00 643.00 1799.00 1465.00 26468.00 -25003.00
"198301" 119566.00 3952.00 49007.00 19159.00 8315.00 3492.00 0.00 3319.00 4033.00 26743.00 5099.00 1063.00 14543.00 110587.00 63669.00 46.00 31707.00 13760.00 17947.00 2692.00 649.00 1936.00 9888.00 28000.00 -18112.00
"198302" 130731.00 4013.00 53224.00 19032.00 8954.00 -871.00 0.00 3821.00 7128.00 32758.00 7423.00 1100.00 13181.00 121010.00 66287.00 74.00 36396.00 17540.00 18856.00 3221.00 520.00 1998.00 12514.00 28544.00 -16030.00
"198303" 145753.00 3421.00 62693.00 25032.00 10208.00 4483.00 0.00 3614.00 6727.00 33781.00 7470.00 1161.00 12195.00 135808.00 84353.00 122.00 35228.00 15455.00 19773.00 3083.00 494.00 2073.00 10455.00 29273.00 -18818.00
"198304" 169025.00 3641.00 78562.00 25539.00 11598.00 -473.00 0.00 6472.00 7942.00 34177.00 10005.00 772.00 16329.00 158618.00 95150.00 377.00 41033.00 18460.00 22573.00 5086.00 486.00 2250.00 14236.00 31312.00 -17076.00
"198401" 162061.00 3726.00 81202.00 19493.00 10641.00 -2602.00 0.00 3696.00 7758.00 31723.00 8127.00 586.00 17204.00 151942.00 96334.00 128.00 36500.00 17688.00 18812.00 4027.00 410.00 2660.00 11883.00 34116.00 -22233.00
"198402" 168423.00 3525.00 93633.00 14695.00 11596.00 -7718.00 0.00 3370.00 7447.00 32657.00 7653.00 738.00 15522.00 158630.00 101931.00 337.00 36398.00 17641.00 18757.00 4133.00 266.00 2804.00 12761.00 34769.00 -22008.00
"198403" 181390.00 3488.00 92034.00 27278.00 13092.00 491.00 0.00 4944.00 8751.00 30415.00 9111.00 635.00 18429.00 170892.00 109625.00 515.00 38518.00 17880.00 20638.00 4727.00 431.00 2847.00 14229.00 34256.00 -20027.00
"198404" 228105.00 3904.00 109699.00 54122.00 17301.00 12140.00 0.00 11008.00 13673.00 31834.00 8914.00 693.00 18939.00 217841.00 141650.00 1071.00 49589.00 21692.00 27897.00 5465.00 428.00 3716.00 15922.00 34672.00 -18750.00
"198501" 197889.00 3937.00 106799.00 26648.00 10499.00 -1600.00 1220.00 4511.00 12018.00 30614.00 10957.00 694.00 18240.00 187004.00 117147.00 382.00 43097.00 19567.00 23530.00 4199.00 482.00 3461.00 18236.00 37814.00 -19578.00
"198502" 216882.00 3751.00 108989.00 34157.00 12618.00 -3507.00 2440.00 5498.00 17108.00 36878.00 12039.00 691.00 20377.00 205215.00 123208.00 548.00 56463.00 24395.00 32068.00 5280.00 566.00 3436.00 15714.00 37729.00 -22015.00
"198503" 230038.00 4200.00 116430.00 39456.00 13928.00 -3436.00 3660.00 6133.00 19171.00 38968.00 10615.00 729.00 19640.00 217402.00 132932.00 622.00 55357.00 25835.00 29522.00 5699.00 624.00 3446.00 18722.00 39893.00 -21171.00
"198504" 299196.00 6275.00 143180.00 58195.00 14549.00 -4011.00 4880.00 19922.00 22855.00 50699.00 14070.00 877.00 25900.00 284508.00 168182.00 1342.00 79230.00 29462.00 49768.00 7998.00 773.00 3848.00 23135.00 43290.00 -20155.00
"198601" 316629.00 5531.00 136776.00 72666.00 16125.00 14590.00 6100.00 8541.00 27310.00 52848.00 16599.00 902.00 31307.00 299801.00 182329.00 990.00 81230.00 28838.00 52392.00 6745.00 654.00 3958.00 23895.00 40279.00 -16384.00
"198602" 337153.00 5225.00 155422.00 71529.00 18140.00 12498.00 7320.00 7737.00 25834.00 52842.00 16027.00 891.00 35217.00 318847.00 199594.00 1696.00 75341.00 29035.00 46306.00 7294.00 643.00 4056.00 30223.00 50987.00 -20764.00
"198603" 351661.00 6196.00 180321.00 70014.00 15109.00 11164.00 8540.00 10210.00 24991.00 55521.00 16727.00 935.00 21947.00 332661.00 218387.00 1322.00 73090.00 23580.00 49510.00 7077.00 638.00 4124.00 28023.00 46433.00 -18410.00
"198604" 372992.00 8450.00 188407.00 66254.00 12599.00 4120.00 9760.00 16595.00 23180.00 57429.00 17721.00 1206.00 33525.00 352711.00 224361.00 3397.00 83258.00 24261.00 58997.00 7632.00 932.00 3624.00 29507.00 46727.00 -17220.00
"198701" 366220.00 6775.00 197168.00 51374.00 10042.00 -6126.00 10908.00 12233.00 24317.00 53567.00 18314.00 1236.00 37786.00 345508.00 224187.00 2952.00 76068.00 21884.00 54184.00 8787.00 956.00 4809.00 27749.00 49301.00 -21552.00
"198702" 369695.00 6312.00 210448.00 36325.00 11354.00 -17144.00 12200.00 8357.00 21558.00 56889.00 17614.00 1231.00 40876.00 349423.00 227971.00 3340.00 75248.00 22760.00 52488.00 8424.00 658.00 5413.00 28369.00 46427.00 -18058.00
"198703" 401574.00 5968.00 240369.00 30299.00 12846.00 -26607.00 13420.00 7971.00 22669.00 59395.00 20423.00 1234.00 43886.00 380755.00 251798.00 4022.00 78408.00 25253.00 53155.00 8892.00 550.00 5754.00 31331.00 54075.00 -22744.00
"198704" 402574.00 7448.00 264626.00 39779.00 14150.00 -16685.00 14640.00 8286.00 19388.00 41797.00 10685.00 2835.00 35404.00 379135.00 269097.00 3248.00 60204.00 19116.00 41088.00 6828.00 394.00 3130.00 36234.00 60605.00 -24371.00
"198801" 429251.00 9656.00 282706.00 42765.00 14564.00 -15703.00 15860.00 6006.00 22038.00 40625.00 11495.00 2471.00 39533.00 404712.00 295387.00 3498.00 63682.00 20744.00 42938.00 8300.00 459.00 3774.00 29612.00 76246.00 -46634.00
"198802" 433666.00 10951.00 289479.00 34283.00 17381.00 -31253.00 17080.00 7375.00 23700.00 41231.00 11075.00 2274.00 44373.00 406706.00 293874.00 5327.00 64324.00 18955.00 45369.00 9413.00 489.00 2094.00 31185.00 80422.00 -49237.00
"198803" 461721.00 10172.00 323899.00 33693.00 14158.00 -31306.00 18300.00 6967.00 25574.00 42131.00 11881.00 2186.00 37759.00 436108.00 324621.00 5511.00 63275.00 18193.00 45082.00 9012.00 507.00 3921.00 29261.00 84025.00 -54764.00
"198804" 447932.00 9390.00 312062.00 23518.00 14773.00 -47396.00 19520.00 7480.00 29141.00 43506.00 12233.00 2708.00 44515.00 423530.00 300811.00 7517.00 64156.00 19084.00 45072.00 8548.00 543.00 4795.00 37160.00 87493.00 -50333.00
"198901" 491830.00 8812.00 347904.00 37374.00 15336.00 -35659.00 20740.00 4891.00 32066.00 39338.00 12566.00 2756.00 43080.00 466921.00 346500.00 9649.00 66072.00 19626.00 46446.00 8463.00 412.00 4363.00 31462.00 88040.00 -56578.00
"198902" 574728.00 9731.00 387628.00 67678.00 15736.00 -8745.00 21960.00 7017.00 31710.00 44641.00 13423.00 2507.00 49120.00 549857.00 416032.00 10865.00 74415.00 22052.00 52363.00 8532.00 543.00 4787.00 34683.00 92052.00 -57369.00
"198903" 537389.00 8749.00 350241.00 69531.00 14202.00 -4995.00 23180.00 5786.00 31358.00 44294.00 14081.00 2508.00 47985.00 511535.00 399576.00 10128.00 67212.00 23002.00 44210.00 8216.00 703.00 4718.00 20982.00 97513.00 -76531.00
"198904" 553834.00 9758.00 317274.00 103686.00 17811.00 21506.00 24400.00 7097.00 32872.00 42540.00 14078.00 2290.00 64208.00 530452.00 396611.00 13783.00 76276.00 21011.00 55265.00 8005.00 606.00 6266.00 28905.00 95371.00 -66466.00
"199001" 532155.00 10145.00 327226.00 72870.00 17097.00 -2986.00 25620.00 6162.00 26977.00 41977.00 9884.00 2399.00 67654.00 509534.00 377772.00 12289.00 70833.00 20113.00 50720.00 6095.00 645.00 6325.00 35575.00 94160.00 -58585.00
"199002" 521977.00 8726.00 317861.00 68025.00 14484.00 -11205.00 27324.00 6726.00 30696.00 40022.00 12863.00 2420.00 72060.00 499213.00 365215.00 10825.00 71568.00 19180.00 52388.00 5866.00 696.00 6471.00 38572.00 94361.00 -55789.00
"199003" 529046.00 10879.00 329569.00 50423.00 14150.00 -33339.00 31485.00 7389.00 30738.00 36722.00 8971.00 2525.00 89957.00 507698.00 372039.00 14312.00 73855.00 18495.00 55360.00 5720.00 688.00 6536.00 34548.00 81970.00 -47422.00
"199004" 559946.00 10248.00 297813.00 106479.00 18393.00 7277.00 44013.00 7894.00 28902.00 38809.00 9555.00 2519.00 94523.00 537053.00 396720.00 15289.00 80736.00 15885.00 64851.00 6103.00 664.00 3774.00 33767.00 82334.00 -48567.00
"199101" 577168.00 10168.00 326912.00 91624.00 17322.00 -6815.00 45290.00 6636.00 29191.00 36867.00 12763.00 2579.00 96255.00 553870.00 410411.00 16421.00 80004.00 16642.00 63362.00 5774.00 568.00 5179.00 35513.00 84073.00 -48560.00
"199102" 614164.00 10594.00 344404.00 100863.00 14620.00 -5679.00 49116.00 9149.00 33657.00 37562.00 12424.00 2679.00 105638.00 590859.00 442715.00 18154.00 80159.00 19038.00 61121.00 6469.00 605.00 5591.00 37166.00 82792.00 -45626.00
"199103" 667959.00 9071.00 359831.00 124282.00 14795.00 8904.00 54652.00 8435.00 37496.00 45059.00 13757.00 2859.00 113100.00 644624.00 485325.00 18212.00 91588.00 18954.00 72634.00 6202.00 687.00 5888.00 36722.00 83554.00 -46832.00
"199104" 651522.00 10191.00 319012.00 123988.00 13958.00 5669.00 54029.00 9448.00 40884.00 55066.00 14267.00 3458.00 125540.00 627680.00 441925.00 19000.00 117597.00 22136.00 95461.00 6785.00 850.00 5770.00 35753.00 85776.00 -50023.00
"199201" 659082.00 9976.00 336591.00 108325.00 13573.00 -15437.00 57617.00 7866.00 44706.00 51227.00 12334.00 3657.00 136972.00 634098.00 462400.00 19686.00 99811.00 21357.00 78454.00 6002.00 877.00 5955.00 39367.00 91450.00 -52083.00
"199202" 721732.00 10313.00 378374.00 135236.00 16668.00 -5661.00 66514.00 10120.00 47595.00 56332.00 12686.00 3920.00 124871.00 694664.00 507136.00 23104.00 108545.00 21645.00 86900.00 6432.00 908.00 6109.00 42430.00 91711.00 -49281.00
"199203" 797060.00 10651.00 401339.00 145374.00 16195.00 -427.00 62053.00 9364.00 58189.00 55840.00 12072.00 3974.00 167810.00 769845.00 579111.00 22706.00 109574.00 22725.00 86849.00 6554.00 979.00 6130.00 44791.00 100873.00 -56082.00
"199204" 789458.00 10367.00 407726.00 122695.00 15200.00 -7657.00 52981.00 11313.00 50858.00 53474.00 14783.00 5421.00 174992.00 760509.00 567447.00 21694.00 110928.00 25380.00 85548.00 7389.00 888.00 5297.00 46866.00 102315.00 -55449.00
"199301" 855639.00 11086.00 439658.00 140812.00 15752.00 -4995.00 60300.00 9904.00 59851.00 59775.00 15807.00 5649.00 182852.00 829137.00 626314.00 19323.00 124191.00 23131.00 101060.00 8101.00 1091.00 9433.00 40684.00 102656.00 -61972.00
"199302" 886120.00 10872.00 447275.00 154700.00 15267.00 -1318.00 65400.00 14351.00 61000.00 59048.00 19213.00 6344.00 188668.00 863355.00 623513.00 22754.00 140472.00 27947.00 112525.00 9931.00 1067.00 13569.00 52049.00 111327.00 -59278.00
"199303" 966534.00 11007.00 504000.00 154734.00 14642.00 -19674.00 73800.00 14216.00 71750.00 67376.00 21514.00 6351.00 201552.00 943129.00 690693.00 26419.00 138895.00 29237.00 109658.00 10437.00 1447.00 17705.00 57533.00 115671.00 -58138.00
"199304" 969639.00 12281.00 490861.00 137533.00 14868.00 -28313.00 60800.00 17133.00 73045.00 76123.00 24247.00 4296.00 224298.00 951488.00 675444.00 33734.00 144784.00 32473.00 112311.00 10069.00 1401.00 23690.00 62366.00 127469.00 -65103.00
"199401" 1022172.00 14913.00 552305.00 115219.00 11372.00 -44830.00 58600.00 13079.00 76998.00 77033.00 22252.00 4350.00 236100.00 1003788.00 718235.00 31258.00 150874.00 34081.00 116793.00 12256.00 1428.00 23914.00 65823.00 136395.00 -70572.00
"199402" 1026211.00 14181.00 560631.00 100804.00 18676.00 -53124.00 55300.00 12503.00 67449.00 76103.00 19739.00 4459.00 250294.00 1009248.00 734691.00 31324.00 144122.00 29090.00 115032.00 9989.00 1353.00 24138.00 63631.00 133461.00 -69830.00
"199403" 1058890.00 13459.00 589408.00 95331.00 12164.00 -45723.00 50000.00 12402.00 66488.00 72568.00 20178.00 4518.00 263428.00 1042197.00 769031.00 29419.00 140737.00 25317.00 115420.00 10257.00 1409.00 24362.00 66982.00 139213.00 -72231.00
"199404" 942464.00 12022.00 487740.00 93329.00 11207.00 -42684.00 45000.00 15455.00 64351.00 75051.00 20126.00 2560.00 251636.00 916858.00 652000.00 34255.00 143046.00 27301.00 115745.00 9149.00 1195.00 14032.00 63181.00 144187.00 -81006.00
"199501" 1010872.00 13990.00 538204.00 101106.00 16822.00 -29236.00 45000.00 10838.00 57682.00 69850.00 22013.00 2402.00 263307.00 983931.00 726541.00 26870.00 145370.00 24412.00 120958.00 9021.00 1047.00 14513.00 60569.00 157133.00 -96564.00
"199502" 1060315.00 13270.00 568510.00 137410.00 17480.00 -129.00 42000.00 11702.00 66357.00 68742.00 23863.00 2464.00 246056.00 1033771.00 766201.00 26844.00 152295.00 29068.00 123227.00 9330.00 1072.00 14994.00 63035.00 162597.00 -99562.00
"199503" 1088000.00 14788.00 584830.00 136112.00 22130.00 -8106.00 46000.00 9305.00 66783.00 77352.00 26753.00 2605.00 245560.00 1060860.00 785182.00 27368.00 155504.00 29991.00 125513.00 9997.00 1348.00 15475.00 65986.00 171098.00 -105112.00
"199504" 1159292.00 13749.00 591187.00 180876.00 22065.00 18274.00 54000.00 12723.00 73814.00 81146.00 34176.00 2830.00 255328.00 1132983.00 827466.00 29300.00 173173.00 27783.00 145390.00 10261.00 1117.00 17382.00 74284.00 168569.00 -94285.00
"199601" 1213119.00 12924.00 643711.00 153285.00 16766.00 5215.00 50000.00 8866.00 72438.00 92005.00 28171.00 1802.00 281221.00 1185622.00 877899.00 21360.00 185112.00 29114.00 155998.00 11613.00 1063.00 18280.00 70295.00 183354.00 -113059.00
"199602" 1237571.00 15327.00 672305.00 134950.00 19921.00 -14080.00 48200.00 8802.00 72107.00 93088.00 31923.00 2008.00 287970.00 1210700.00 901200.00 24649.00 180270.00 27051.00 153219.00 13026.00 1196.00 19178.00 71181.00 192024.00 -120843.00
"199603" 1261972.00 15300.00 678846.00 143485.00 18072.00 -3985.00 46500.00 7867.00 75031.00 90515.00 29142.00 2667.00 302017.00 1234836.00 909240.00 26068.00 178077.00 25665.00 152412.00 14461.00 1079.00 20076.00 85835.00 198396.00 -112561.00
"199604" 1310602.00 15651.00 674251.00 163810.00 23686.00 -12836.00 55200.00 10830.00 86930.00 98331.00 37899.00 12432.00 308228.00 1283701.00 898114.00 27281.00 220677.00 30740.00 189937.00 14282.00 1264.00 20765.00 101318.00 209731.00 -108413.00
"199701" 1382112.00 14760.00 726717.00 159711.00 25226.00 -22758.00 53807.00 10056.00 93380.00 106144.00 39279.00 12828.00 322673.00 1353322.00 973835.00 26567.00 213228.00 31966.00 181262.00 17663.00 1040.00 22230.00 98759.00 209060.00 -110301.00
"199702" 1449707.00 18078.00 732277.00 154492.00 25935.00 -28009.00 53744.00 11363.00 91459.00 116050.00 44150.00 13082.00 371578.00 1420504.00 1011047.00 35301.00 231410.00 32341.00 199069.00 16356.00 889.00 23695.00 101806.00 216256.00 -114450.00
"199703" 1563493.00 18951.00 814683.00 158132.00 24340.00 -42821.00 66391.00 11049.00 99173.00 133977.00 50737.00 12636.00 374377.00 1531641.00 1098341.00 33583.00 235401.00 33447.00 201954.00 23629.00 1110.00 25160.00 114417.00 228002.00 -113585.00
"199704" 1552359.00 21682.00 773165.00 175194.00 24258.00 -5344.00 50432.00 13203.00 92645.00 138572.00 51922.00 4162.00 387662.00 1523260.00 1060896.00 35340.00 253705.00 33883.00 219822.00 19938.00 1345.00 29388.00 122648.00 248273.00 -125625.00
"199801" 1746749.00 24927.00 828640.00 235435.00 25079.00 31929.00 67883.00 12381.00 98163.00 147314.00 62800.00 4729.00 442904.00 1712576.00 1141532.00 35082.00 282098.00 36812.00 245286.00 19532.00 1085.00 29242.00 204005.00 270551.00 -66546.00
"199802" 1755366.00 22235.00 838291.00 202356.00 28296.00 -29276.00 86937.00 15294.00 101105.00 158536.00 66679.00 4987.00 462282.00 1719593.00 1154988.00 40084.00 297815.00 37895.00 259920.00 20869.00 1095.00 29096.00 175646.00 292998.00 -117352.00
"199803" 1782723.00 25934.00 793020.00 239004.00 33417.00 38103.00 61524.00 14699.00 91261.00 155927.00 55447.00 5376.00 508015.00 1748180.00 1147679.00 39435.00 330984.00 31843.00 299141.00 21782.00 793.00 28950.00 178557.00 303978.00 -125421.00
"199804" 1602450.00 25378.00 681271.00 182635.00 28031.00 15817.00 50922.00 13145.00 74720.00 159480.00 54351.00 7691.00 491644.00 1567067.00 985457.00 42533.00 323446.00 31107.00 292339.00 18932.00 1264.00 29723.00 165712.00 321926.00 -156214.00
"199901" 1595321.00 24459.00 701566.00 204568.00 28801.00 48120.00 32874.00 12390.00 82383.00 167378.00 61035.00 9768.00 426547.00 1558456.00 1009463.00 34756.00 316763.00 29102.00 287661.00 19429.00 1289.00 31024.00 145732.00 363461.00 -217729.00
"199902" 1601491.00 27641.00 701006.00 152055.00 28785.00 -12250.00 34718.00 14339.00 86463.00 190591.00 68117.00 11942.00 450139.00 1560433.00 984322.00 30182.00 320822.00 32279.00 288543.00 31539.00 1385.00 32325.00 159858.00 384051.00 -224193.00
"199903" 1643927.00 26734.00 722563.00 159971.00 29344.00 -21843.00 57294.00 12844.00 82332.00 192629.00 55535.00 13838.00 472657.00 1602100.00 1003400.00 34623.00 335954.00 28690.00 307264.00 30022.00 1498.00 33626.00 162977.00 366817.00 -203840.00
"199904" 1727690.00 28711.00 726688.00 147857.00 25987.00 -42626.00 65950.00 11947.00 86599.00 234738.00 66885.00 49901.00 472910.00 1687231.00 1037512.00 25309.00 383071.00 33410.00 349661.00 30859.00 2180.00 38680.00 169620.00 356908.00 -187288.00
"200001" 1861151.00 27117.00 728626.00 187397.00 30206.00 -6509.00 50284.00 10842.00 102574.00 293890.00 74383.00 52533.00 497205.00 1814265.00 1084020.00 36416.00 444454.00 36281.00 408173.00 33766.00 2423.00 39459.00 173727.00 338329.00 -164602.00
"200002" 1884452.00 26969.00 751545.00 180131.00 38226.00 -24138.00 55092.00 9868.00 101083.00 278258.00 74528.00 55384.00 517637.00 1836821.00 1106944.00 36247.00 426203.00 33906.00 392297.00 39405.00 1719.00 40238.00 186065.00 353251.00 -167186.00
"200003" 1944166.00 20781.00 735559.00 234835.00 45430.00 7847.00 62613.00 10836.00 108109.00 282369.00 81519.00 57607.00 531496.00 1895545.00 1137895.00 42588.00 447203.00 35157.00 412046.00 35912.00 1772.00 41017.00 189158.00 354807.00 -165649.00
