,historical VaR,parametric VaR normal,parametric VaR student,MC VaR levy,historical ES,parametric ES normal,parametric ES student,MC ES levy
NATU.PA,-0.06299443279049707,-0.0462670892786009,-0.05280640458517793,-0.1302526750029526,-0.07913638108240345,-0.051693686988717624,-0.06608660678033523,-0.40082109326844134
PPCF.PA,-0.0957692307692307,-0.07427377444894102,-0.086961075572651,-11.889604000074504,-0.1092368959393885,-0.0830649847401827,-0.11428244258571127,-80766.63096137943
ISOS.PA,-0.06117607185222846,-0.05185189994833538,-0.057822020881606505,-0.092312703951433,-0.08760630959893173,-0.05792129763103397,-0.06957684145167052,-0.2008844657738883
ALVDM.PA,-0.052327976926246376,-0.03376598057314142,-0.041851933935144525,-0.8502688008172782,-0.06732316787992808,-0.037775465361014206,-0.062828854396913,-651.6473646479725
GNFT.PA,-0.13934426229508193,-0.1073013230730755,-0.12389457995739724,-0.44459191607630116,-0.1859093346853424,-0.1199213608921641,-0.1584379601641488,-1.6208988814958496
VIRB.PA,-0.0669005847953217,-0.04833659204404966,-0.053985596197918255,-0.08514861646679518,-0.09760123980606802,-0.054026536594615766,-0.06511455729753605,-0.185552435203381
TETR.PA,-0.05758266818700103,-0.04369894288858282,-0.05063286588759125,-0.1830790799084471,-0.09206044852705492,-0.04877132086132315,-0.06525978156396502,-0.7340475705149372
CHBE.PA,-0.07015032211882609,-0.05856729128221482,-0.06510897923002484,-0.10824008337639006,-0.0905012381547434,-0.06542644175508391,-0.07797210806356575,-0.2366234546478223
CITT.PA,-0.08280254777070058,-0.0570424666490001,-0.06574406025372447,-0.18979323607778473,-0.10443868600566214,-0.06375031785040791,-0.08378158935565262,-0.6496827631454053
MANP.PA,-0.09080792343645679,-0.0702789083173962,-0.07980472671931041,-0.1613317899251158,-0.12161907771085391,-0.07849784509606278,-0.09897906144865212,-0.4028766303260951
CCHE.PA,-0.07690476190476184,-0.05422705464430401,-0.0626991046398584,-0.22504997613047134,-0.10455378615564737,-0.06050456186321274,-0.08049040312351992,-1.0338453076778678
VILM.PA,-0.060493827160493896,-0.04274669409200976,-0.048582179160742096,-0.1009998077601081,-0.07978638441048234,-0.047767463170506355,-0.06033529462191893,-0.2617545422320917
MMTP.PA,-0.059605488850771896,-0.04639760293792755,-0.051317063529665384,-0.09742588447603637,-0.07497248181560488,-0.05180579255654018,-0.060987850251854714,-0.3443321725911289
CDAF.PA,-0.04944269791368966,-0.03658577422859108,-0.04235319063070634,-0.11448755125508167,-0.06111858424812469,-0.04086348908170713,-0.05446060520674845,-0.3542486236884589
DBG.PA,-0.09664804469273745,-0.08397807432867392,-0.09330074130537425,-0.14082538134338704,-0.12077615920594043,-0.09380643768890053,-0.1116296528578033,-0.32212672018831695
CGDM.PA,-0.07838795394154117,-0.060133115308418736,-0.06879911277978533,-0.16429466666703316,-0.10820422063669638,-0.0671509779414937,-0.08650876794829025,-0.4526149845578422
GOEG.PA,-0.07834757834757829,-0.05977509298224435,-0.069824254772418,-0.25359105031953966,-0.09342123759858541,-0.06675313431616607,-0.09144598568889493,-0.9438966307781929
VRKP.PA,-0.054205607476635546,-0.03833885495228746,-0.04407596949731289,-0.10186356605788972,-0.07904925452350597,-0.042788413628778575,-0.05594618375636422,-0.2818343307515664
BOND.PA,-0.05437936593229449,-0.040468632916748855,-0.04532189056560419,-0.07519050485660281,-0.06898510374974313,-0.045224640378629874,-0.054904056778901755,-0.18342129691659548
STF.PA,-0.05170278637770893,-0.03403336526708054,-0.04056321593653063,-13.080202761629481,-0.06541205630087707,-0.03804355517461775,-0.055422005801473544,-42834.24822715181
PVAC.PA,-0.0670059372349448,-0.061155083453621494,-0.06780099272116662,-0.10927753485033957,-0.07588564790840345,-0.06827752960866995,-0.08086399967248656,-0.3407484346941779
DVTM.PA,-0.08113207547169816,-0.061112045518242945,-0.0680622232520453,-0.11457627370440912,-0.09211570087685753,-0.06831664403632465,-0.08173383867298828,-0.289984542297977
ASY.PA,-0.06621392190152796,-0.048028633213320855,-0.055303934585328146,-0.15661419706995264,-0.09044425196629079,-0.053674098279695416,-0.070354306859806,-0.41634207896004294
FLMI.PA,-0.05999999999999996,-0.04013694558486397,-0.04709188952573165,-8.543068642833036,-0.0730123131018961,-0.044825390498348126,-0.06224128993325507,-5107.8630542605915
SONO.PA,-0.055699481865284936,-0.043596622908126256,-0.04958498411715925,-24.805965694496873,-0.069730198238894,-0.0486699344165503,-0.06168702389719682,-12340.072099783061
VLS.PA,-0.08132530106130227,-0.0693398001175484,-0.07983926630550704,-0.1771643242204995,-0.11077899888482313,-0.07741578107423033,-0.10161855753437433,-0.4912516316098983
VETO.PA,-0.05360134003350074,-0.03811279761108005,-0.043407644461396444,-0.11259180900503417,-0.0629112547778839,-0.042607489358742305,-0.05410334143558312,-0.3064026604242693
GPBN.PA,-0.08578068876096372,-0.06381956028037929,-0.07216103799494719,-0.1502488484092182,-0.10283566893252542,-0.07122512188389034,-0.08885714132778771,-0.37639867321617304
LPER.PA,-0.06122807017543863,-0.04313189699186261,-0.05072160199869839,-0.22818524308696497,-0.08120226348954383,-0.048173441848687965,-0.06735976396844628,-1.2568142023319675
ALTEV.PA,-0.058201058201058094,-0.03877989521848579,-0.04702635832428481,-4.415532606021856,-0.0781665856950437,-0.04333926188051823,-0.06692557847653466,-2478.506589197627
DBV.PA,-0.07571623465211456,-0.07074582973929353,-0.08056253072282457,-0.1913382533172887,-0.14916742889063195,-0.0791495216885543,-0.10035556110388244,-0.7203199839206218
ECP.PA,-0.09348441926345599,-0.07360500795727495,-0.08492657628565607,-0.19448129636145284,-0.12253135969749675,-0.08210478640723454,-0.10859601592788366,-0.5617947866673826
AXW.PA,-0.06567366283006086,-0.04880874386102193,-0.05635417905651969,-0.1326992101985519,-0.09602386951063165,-0.05451908949925795,-0.07208735066600466,-0.3617960125604718
BLUE.PA,-0.07212317666126423,-0.0973011421990004,-0.10793465050278177,-0.16743560839154745,-0.08779629817837788,-0.10869734858921516,-0.12883556362329063,-0.4250902488266801
GTT.PA,-0.07336726039016103,-0.054204569518428315,-0.06058895183038366,-0.0985023384117442,-0.13072083829043615,-0.0605549970933594,-0.0731781005950878,-0.23236160442937182
PIX.PA,-0.08888888888888888,-0.08151790994753633,-0.09407579537062213,-1.4387471506447467,-0.18130215639694988,-0.09092297569315529,-0.12035133853289313,-5.130594573688383
AMPLI.PA,-0.06628242074927954,-0.05848104716844089,-0.06656136145355819,-0.14935306370079635,-0.08139675625291397,-0.06527865428251317,-0.08291752381297604,-0.3770744538163749
EUCAR.PA,-0.05781420761829438,-0.0501299534237542,-0.05638864104881659,-0.09850378022801341,-0.09134285975810379,-0.05597647785160749,-0.06881381428210916,-0.2339271642307581
LOUP.PA,-0.046771733604473786,-0.0286979962672644,-0.035022795810264025,-4.749238276712242,-0.061592062138093276,-0.032099949821169524,-0.050548596238778117,-1409.9273444233768
FR0013066669=,-0.1527377521613834,-0.1072619265795508,-0.11989821504759016,-0.25615293561887753,-0.16543260758342332,-0.11953220985668028,-0.1448691202399133,-0.6445025552687158
HFCO.PA,-0.08035714285714274,-0.058064008700336206,-0.0676192566202479,-0.16896977862433402,-0.11766857779425303,-0.06480759643327724,-0.08804693542175433,-0.46366232411103353
FR0011509488=,-0.07234539089848302,-0.06346991642821687,-0.06997494857433581,-0.08331596361830275,-0.09586751631883153,-0.07082523558169848,-0.0827737966023563,-0.1763178285031382
FR0013203825=,-0.062278481012658225,-0.05794472587379514,-0.06414324260127807,-0.06021310578475081,-0.0650935720097641,-0.06483158565471424,-0.07633131695158853,-0.12195428471504664
FR001102262=2M,-3.239130434782609,-11.478591340720733,-13.022104998667208,-13.723715405220222,-23.730617193039873,-12.825142528032654,-16.121976755602727,-428.87266086161253
FR0011019397=,-1.0,-2.111773850484,-2.377527982760417,-1.757443725897451,-5.633125,-2.3577591421592206,-2.9058067093087456,-14.842415709299814
FR0012861821=,-0.28571428571428575,-0.22873153610091423,-0.2721353101214673,-0.537262892702977,-0.3192488923271678,-0.25562900849523756,-0.3704508652721919,-1.7902737171251444
XS120710141=1M,-0.017812963879267663,-0.011016879472416951,-0.013296030916971697,-0.007604265866909604,-0.03022945411969263,-0.012313415385298036,-0.018703361613270162,-28.838457181216484
FR0013212958=,-0.08608441287087337,-0.03553036608057316,-0.040919477060663824,-0.11329086879711048,-0.099222679469593,-0.03942530962787033,-0.05233750243374621,-0.30915545506290987
FR0010456475=R,-5.576923076923077,-14.934468140564897,-16.55790639407041,-4.660003367411073,-18.81203147925837,-16.688985813905358,-19.748804229007604,-35438.30974956307
FR0010877183=R,-10.038461538461538,-8.426433534839068,-9.68669188582174,-4.028844971695147,-40.44489569663785,-9.392566359097241,-12.303621484710735,-168.79819277739344
FR084676144=,-1.8474576271186443,-2.4062508931925386,-2.826824534888123,-2.900421962182553,-5.542738095238095,-2.6907655314187773,-3.74155369915815,-13.562189244605937
FR0011942226=,-0.16941990011525174,-0.1515273892374711,-0.18020869766595887,-0.5062117968801131,-0.3504832298638029,-0.16916679613011068,-0.24542580016599275,-2.2483877033088158
FR087874362=,-0.0493289807762059,-0.046569490177988934,-0.050775194599524946,-0.076765041308693,-0.06075303306538364,-0.051899606665789265,-0.059144736762179705,-0.15640491472728105
FR077340289=,-0.22222222222222227,-0.17047051047027406,-0.20228270091469208,-0.6723573959912359,-0.2585275965000557,-0.1904047920404494,-0.27394493576686035,-2.977457988357466
FR0013170834=,-0.07813570938999322,-0.06712359752360184,-0.07237504287789133,-0.08217207999638274,-0.10130241123465547,-0.07490588611239823,-0.08320848993323522,-0.14746459116276303
FR0013179553=,-0.11780821917808215,-0.12109499801194318,-0.129783296473055,-0.16232889396301373,-0.147371222425927,-0.13525455770353115,-0.14830919555288813,-0.33191889438114197
FR030796365=,-0.2094594594594595,-0.13286600859868627,-0.16093184486478135,-0.3764412552594944,-0.28591736197696277,-0.14837328635295885,-0.22868294075375753,-2.102364323171909
FR0010383901=,-0.6880222841225627,-0.8377228317163036,-0.9997089005536632,-94.11173376821746,-0.7591592811988184,-0.9380148374815105,-1.3667976562804314,-1790116.5742409013
FR103080754=,-0.13380281690140838,-0.11489683587621362,-0.13220356572481076,-0.3782323057487927,-0.17704602532171024,-0.12813133109311736,-0.1681694872105549,-1.0984721818638907
ALESK.PA,-0.08571428571428563,-0.06643936574590918,-0.07691185871474177,-0.14741911151712425,-0.1312241149970229,-0.0743068062249503,-0.09880142763306951,-0.4231074938721666
FFPP.PA,-0.07205240174672488,-0.05564226492060266,-0.0607423478241118,-0.09234605178004686,-0.08755695924375644,-0.062150608622019335,-0.07090283414653537,-0.19215284699094223
ADOC.PA,-0.09677419354838718,-0.10971770893201384,-0.12582293387378113,-0.20588235530861504,-0.19430331891029617,-0.12256221945490274,-0.15887332081972538,-0.530854502308941
NEXTS.PA,-0.037383177570093455,-0.02506354673094719,-0.02923134753082591,-0.010891938615570295,-0.04166666666666668,-0.02798162166075883,-0.03816930792585405,-4.260934983787511
