"Dow","CAC","Date"
8.2769899698971,7.53518994234073,1995-01-16
8.27656260730634,7.52666372253132,1995-01-17
8.27613512410134,7.52849307036378,1995-01-18
8.2641598480469,7.51594350725082,1995-01-19
8.2608624707807,7.50290369568254,1995-01-20
8.2603402885754,7.48031552419286,1995-01-23
8.25912168711531,7.48448096899983,1995-01-24
8.26138438019576,7.4969298691591,1995-01-25
8.26112345940773,7.5100473680282,1995-01-26
8.2579015988537,7.50334474271758,1995-01-27
8.25116303605404,7.50295882844676,1995-01-30
8.25423237686812,7.49437460948116,1995-01-31
8.25519447546774,7.51086836364629,1995-02-01
8.26120873780784,7.50444661050932,1995-02-02
8.27604856175659,7.51882436153296,1995-02-03
8.27835968904728,7.53481606159439,1995-02-06
8.27827331906036,7.53390760354928,1995-02-07
8.27776021411578,7.52342729922934,1995-02-08
8.27707638900331,7.53604389999768,1995-02-09
8.27869995108383,7.53337281558683,1995-02-10
8.28253610323123,7.52299495769329,1995-02-13
8.28355728738154,7.52623277827472,1995-02-14
8.29058612956808,7.52935276359207,1995-02-15
8.29092476777015,7.51479976048867,1995-02-16
8.28236666894168,7.50796446388281,1995-02-17
8.28236666894168,7.49676339261195,1995-02-20
8.28500131999233,7.49864821221135,1995-02-21
8.28728935301691,7.49798341883506,1995-02-22
8.29488181324989,7.51043055637801,1995-02-23
8.29698033890592,7.49870358008554,1995-02-24
8.29118806670346,7.49676339261195,1995-02-27
8.29680834362788,7.4826255654577,1995-02-28
8.29274880663493,7.50019776869185,1995-03-01
8.28901949309839,7.4996446407466,1995-03-02
8.29144878756538,7.49287168803337,1995-03-03
8.29343946873534,7.48059752413053,1995-03-06
8.28466319569251,7.46657073302152,1995-03-07
8.28884360719848,7.47124927920683,1995-03-08
8.28988846767024,7.45419896645375,1995-03-09
8.30291277299139,7.46342040245225,1995-03-10
8.30033732610856,7.45112556268244,1995-03-13
8.30616347048554,7.47816969415979,1995-03-14
8.3035964531667,7.46083545684075,1995-03-15
8.31118938733294,7.4876218005218,1995-03-16
8.31229465838625,7.48930031035345,1995-03-17
8.31475380500867,7.5019656984341,1995-03-20
8.31203937682035,7.50317939802857,1995-03-21
8.31458483968787,7.50549227473742,1995-03-22
8.31576956497268,7.49315016976044,1995-03-23
8.3281297403203,7.50510718905029,1995-03-24
8.33263068813627,7.51539902285696,1995-03-27
8.33129967693033,7.51599792578062,1995-03-28
8.33346259559287,7.52423738756276,1995-03-29
8.33628504944079,7.54591815120932,1995-03-30
8.33271489637346,7.52806291336513,1995-03-31
8.33528998454175,7.53047999524554,1995-04-03
8.34322303154479,7.54051533555206,1995-04-04
8.34297546744975,7.53524332355016,1995-04-05
8.34412710772167,7.54443789663777,1995-04-06
8.34108114373418,7.54981968194169,1995-04-07
8.34239920769923,7.53950567743661,1995-04-10
8.33975889122436,7.53331933443131,1995-04-11
8.34231825376383,7.53470924962848,1995-04-12
8.3447855709914,7.53961197834048,1995-04-13
8.34173917093961,7.53961197834048,1995-04-17
8.33785834188837,7.52601723594516,1995-04-18
8.34462160496898,7.53631061644959,1995-04-19
8.35011332511164,7.54009032014532,1995-04-20
8.35939014675073,7.56444593497702,1995-04-21
8.36729545034381,7.55929890968701,1995-04-24
8.36640981764507,7.57347988629773,1995-04-25
8.36633078415666,7.57162814206591,1995-04-26
8.3697831213818,7.56579328242851,1995-04-27
8.37130462414382,7.55929890968701,1995-04-28
8.37010287995938,7.55929890968701,1995-05-01
8.37306410000228,7.56884404823913,1995-05-02
8.38323882981009,7.58634702935694,1995-05-03
8.38014938743358,7.57363400721062,1995-05-04
8.37641270796418,7.56392723586919,1995-05-05
8.38568720159226,7.56392723586919,1995-05-08
8.38726211785795,7.59523641327624,1995-05-09
8.39040929560494,7.59925107225236,1995-05-10
8.39189975993505,7.60270082950502,1995-05-11
8.39628127920182,7.6095152869302,1995-05-12
8.39783972164847,7.5966434026217,1995-05-15
8.39729412466935,7.60155227286766,1995-05-16
8.39448305958221,7.60324967816787,1995-05-17
8.37577711322245,7.59578943478085,1995-05-18
8.37593604972749,7.58350194486191,1995-05-19
8.38836611793896,7.59059956654619,1995-05-22
8.39760751871053,7.58340020933852,1995-05-23
8.39799519026817,7.5810568063303,1995-05-24
8.39213550503482,7.5810568063303,1995-05-25
8.38228942895144,7.55961159261834,1995-05-26
8.38228942895144,7.56413476076744,1995-05-29
8.38450262828122,7.56387536412917,1995-05-30
8.40405587848437,7.57455848420248,1995-05-31
8.40575871096993,7.5811078572037,1995-06-01
8.3993979365102,7.58644852742863,1995-06-02
8.40660789589191,7.58644852742863,1995-06-05
8.40853841006305,7.58370544692171,1995-06-06
8.40335905022793,7.58817174224937,1995-06-07
8.40258332632479,7.57619982178896,1995-06-08
8.39479733569521,7.54802896993501,1995-06-09
8.39986354418878,7.55370605039514,1995-06-12
8.40838446327896,7.56153776150347,1995-06-13
8.40984850370143,7.54628784039359,1995-06-14
8.41100344759931,7.56044495639927,1995-06-15
8.41422759209995,7.5522372875608,1995-06-16
8.42369101490848,7.55924679678368,1995-06-19
8.42300559426017,7.5475544113826,1995-06-20
8.42224496765792,7.55108179030965,1995-06-21
8.43155689845598,7.56278511197705,1995-06-22
8.43072853999949,7.54702687390852,1995-06-23
8.42315719948964,7.55087153855216,1995-06-26
8.42125698555849,7.53780287650301,1995-06-27
8.42437371581138,7.53128439266121,1995-06-28
8.42300559426017,7.52935276359207,1995-06-29
8.42422229491396,7.52768642357192,1995-06-30
8.43057807815831,7.53886744255456,1995-07-03
8.43057807815831,7.54401461003748,1995-07-04
8.43711697884808,7.55370605039514,1995-07-05
8.44762872803033,7.54406752278954,1995-07-06
8.45589846588045,7.5759948489538,1995-07-07
8.45582619822285,7.57527692421459,1995-07-10
8.45118160675981,7.58136282265089,1995-07-11
8.46110738685464,7.581566698257,1995-07-12
8.46114756572724,7.57471250160197,1995-07-13
8.45719258746015,7.57471250160197,1995-07-14
8.46300941603157,7.57635358662067,1995-07-17
8.45239432385814,7.56475701290573,1995-07-18
8.44006808209366,7.56589682497044,1995-07-19
8.44280359914976,7.55270962953307,1995-07-20
8.44280359914976,7.55428245147954,1995-07-21
8.44862949681971,7.56351205786634,1995-07-24
8.45838758063315,7.57111315597215,1995-07-25
8.45681880082686,7.5717310822418,1995-07-26
8.46226593797985,7.57450716050351,1995-07-27
8.4586123050241,7.56672503309232,1995-07-28
8.45711833913633,7.56008046502183,1995-07-31
8.45539653289554,7.55893400026969,1995-08-01
8.45321982297646,7.58069975222456,1995-08-02
8.45561985313562,7.5759948489538,1995-08-03
8.45179242366421,7.57921905244788,1995-08-04
8.45389546263069,7.57578977103218,1995-08-07
8.45389546263069,7.57799198289119,1995-08-08
8.44923340768175,7.57234862691437,1995-08-09
8.44325816098416,7.57517428583083,1995-08-10
8.43778190876862,7.57363400721062,1995-08-11
8.44674065434991,7.57363400721062,1995-08-14
8.44265062970369,7.57363400721062,1995-08-15
8.44227136651265,7.5859918589866,1995-08-16
8.44044818167165,7.58441734818945,1995-08-17
8.4376303898027,7.58660066265837,1995-08-18
8.43701942857201,7.59307189252123,1995-08-21
8.43824087215313,7.58238203486268,1995-08-22
8.43051269015392,7.57937235325288,1995-08-23
8.42958966466781,7.57003077060684,1995-08-24
8.434115862701,7.56930861323731,1995-08-25
8.43250638324904,7.54438500400917,1995-08-28
8.43564467112573,7.54934597262768,1995-08-29
8.43481110409333,7.56080937846653,1995-08-30
8.43610461646414,7.54083394581887,1995-08-31
8.44409333472793,7.53993087651032,1995-09-01
8.44409333472793,7.5498722884293,1995-09-04
8.44893149783927,7.55092408973584,1995-09-05
8.45186717287063,7.54157701945472,1995-09-06
8.4488544377333,7.52924530145782,1995-09-07
8.45547101319257,7.52558607817134,1995-09-08
8.45636828700708,7.53353324296382,1995-09-11
8.46531234782387,7.53561698003389,1995-09-12
8.46916194339708,7.54866132188246,1995-09-13
8.47674608599128,7.5456011564393,1995-09-14
8.47586478202295,7.539027055824,1995-09-15
8.47228162849888,7.53460236160544,1995-09-18
8.4694808543724,7.54035595967405,1995-09-19
8.47484710710261,7.53037271964193,1995-09-20
8.46955634134435,7.52504682018423,1995-09-21
8.46887439555531,7.49036185647911,1995-09-22
8.47008694562011,7.49587520834549,1995-09-25
8.46917874687852,7.50455677073332,1995-09-26
8.46849654345403,7.49097600751028,1995-09-27
8.47379290449653,7.47737795967885,1995-09-28
8.47409362143898,7.48907665777964,1995-09-29
8.46826756893274,7.48476179689,1995-10-02
8.46583677819463,7.49593072996382,1995-10-03
8.46393373845772,7.49770628001814,1995-10-04
8.4685721047624,7.49570862388126,1995-10-05
8.46993594354005,7.50086109209926,1995-10-06
8.46088105314879,7.48756574676286,1995-10-09
8.4597335144364,7.48324441607385,1995-10-10
8.46278980253685,7.49242599658094,1995-10-11
8.46902760758589,7.49765085689648,1995-10-12
8.47507447839483,7.50494206839617,1995-10-13
8.4731116994595,7.49025018943849,1995-10-16
8.4755271313979,7.48420006222321,1995-10-17
8.47167686658184,7.4791301999395,1995-10-18
8.47688152394865,7.47153384708449,1995-10-19
8.47529976123874,7.46204258200907,1995-10-20
8.46705291205131,7.45071888633136,1995-10-23
8.47296125548176,7.45251842535685,1995-10-24
8.46667437094107,7.47539591069769,1995-10-25
8.45613018612381,7.4697111701675,1995-10-26
8.46416154486443,7.4630187659528,1995-10-27
8.46728206224023,7.49292744517027,1995-10-30
8.46705291205131,7.50328963067508,1995-10-31
8.46940536170175,7.50328963067508,1995-11-01
8.478159148391,7.5113605840856,1995-11-02
8.48168410503838,7.51321811579748,1995-11-03
8.47928564700735,7.50801931889402,1995-11-06
8.4757522105718,7.5269329522632,1995-11-07
8.48728433184377,7.53171316644424,1995-11-08
8.48966370460061,7.52434532386516,1995-11-09
8.49092521257281,7.51741217567639,1995-11-10
8.49144450128223,7.5165420842675,1995-11-13
8.4912208223818,7.5165420842675,1995-11-14
8.50162259642528,7.53647057325215,1995-11-15
8.51104631059401,7.55228976702363,1995-11-16
8.51518120773383,7.54459662333099,1995-11-17
8.51380542822121,7.53977147229431,1995-11-20
8.52189209525553,7.53524332355016,1995-11-21
8.52548072732449,7.53663056952194,1995-11-22
8.52548072732449,7.53214169111713,1995-11-23
8.52691376201515,7.54486106865846,1995-11-24
8.5312696284705,7.54422630827719,1995-11-27
8.53269247416172,7.53385415098796,1995-11-28
8.53808543251469,7.52687912557568,1995-11-29
8.53198135236244,7.51114187913531,1995-11-30
8.53446907683415,7.50708617651809,1995-12-01
8.54471497276595,7.48149937581619,1995-12-04
8.55206797371599,7.50378566198622,1995-12-05
8.55624656037595,7.51469078942892,1995-12-06
8.54857366098669,7.52120971716521,1995-12-07
8.54808311954949,7.52634056461177,1995-12-08
8.55339393057353,7.52272466550228,1995-12-11
8.55157914400418,7.522346159617,1995-12-12
8.55957624812464,7.51414562233627,1995-12-13
8.55297528814481,7.53636393840451,1995-12-14
8.5519288579214,7.52795537814002,1995-12-15
8.53212317467982,7.50686646761549,1995-12-18
8.53893318335802,7.50119258832424,1995-12-19
8.52898733111166,7.51272674187995,1995-12-20
8.5363151527982,7.51447274462699,1995-12-21
8.53659774243174,7.53551025358596,1995-12-22
8.53900551673936,7.53192741878902,1995-12-26
8.53815591456055,7.53743003658651,1995-12-27
8.53617191174721,7.53854820502304,1995-12-28
8.5403470826355,7.53476265703754,1995-12-29
8.55206797371599,7.55402048621793,1996-01-02
8.55527283533603,7.57198844937744,1996-01-03
8.55137040826612,7.56589682497044,1996-01-04
8.55283639289901,7.55888180472803,1996-01-05
8.5559715365469,7.55830804938749,1996-01-08
8.5428862561679,7.55815154804456,1996-01-09
8.52375957366324,7.5549108631263,1996-01-10
8.5301291791726,7.54850330338843,1996-01-11
8.5293431047795,7.55360117384282,1996-01-12
8.5259110373292,7.56236952229672,1996-01-15
8.53468338533335,7.5766609828746,1996-01-16
8.53048445039623,7.58375630070711,1996-01-17
8.54175898581918,7.58075075908696,1996-01-18
8.55346343621538,7.5828912516855,1996-01-19
8.56013004174762,7.57783853222351,1996-01-22
8.55492626396536,7.56739736857581,1996-01-23
8.56461858547237,7.57353126274595,1996-01-24
8.55964523166581,7.57568718527539,1996-01-25
8.57011765472412,7.58411226531978,1996-01-26
8.57640127724266,7.59120557182449,1996-01-29
8.59066852768378,7.6024512475505,1996-01-30
8.59328344704721,7.61134771740362,1996-01-31
8.59509084175995,7.61288042444437,1996-02-01
8.58932597190546,7.61194128242626,1996-02-02
8.59555877239099,7.59367640236332,1996-02-05
8.60513261252301,7.59513586464775,1996-02-06
8.61106963791599,7.59251742771394,1996-02-07
8.61965053203665,7.57875906980783,1996-02-08
8.62004217688082,7.5810568063303,1996-02-09
8.63054864457926,7.58462060206563,1996-02-12
8.63074149189178,7.59251742771394,1996-02-13
8.62686337201301,7.57886134093263,1996-02-14
8.62180004420154,7.58284029177713,1996-02-15
8.61310679348836,7.57686588171384,1996-02-16
8.61310679348836,7.57028857566261,1996-02-19
8.60493476233272,7.56651804510004,1996-02-20
8.61540283915242,7.56884404823913,1996-02-21
8.63203144407433,7.57727555399668,1996-02-22
8.63595179265374,7.58928525234211,1996-02-23
8.62427025060988,7.58115884274475,1996-02-26
8.62141084723848,7.5880704807267,1996-02-27
8.613631818103,7.59935126906797,1996-02-28
8.60988542320129,7.59629187159762,1996-02-29
8.61912865890738,7.60946566591147,1996-03-01
8.63054864457926,7.60852337098744,1996-03-04
8.63806831665479,7.60185202056628,1996-03-05
8.6358238712763,7.60384812879536,1996-03-06
8.6379389345396,7.60489448081162,1996-03-07
8.60711619458877,7.58857680985145,1996-03-08
8.62712325078843,7.57502040214262,1996-03-11
8.62764096964264,7.56636276084562,1996-03-12
8.62492054260773,7.57265731930365,1996-03-13
8.628029498148,7.5819235051742,1996-03-14
8.62783437845417,7.57563591998713,1996-03-15
8.64534013100651,7.58324752430336,1996-03-18
8.6428579319609,7.58436646599348,1996-03-19
8.64036964255725,7.58568731861122,1996-03-20
8.63531037266199,7.58928525234211,1996-03-21
8.63704344659014,7.58801984586666,1996-03-22
8.63832348328812,7.6028006812787,1996-03-25
8.64305022851119,7.60489448081162,1996-03-26
8.63531037266199,7.61603734712635,1996-03-27
8.6360157040514,7.61085279039525,1996-03-28
8.62822283183655,7.62305528814644,1996-03-29
8.63723504557573,7.62832310279272,1996-04-01
8.64324068016239,7.63549705697273,1996-04-02
8.64641987300267,7.63240112660145,1996-04-03
8.64521340487808,7.6377164326648,1996-04-04
8.6295160347838,7.6377164326648,1996-04-08
8.62342715358857,7.64094012303516,1996-04-09
8.60995102220179,7.64678358799565,1996-04-10
8.61014966232884,7.63651088700945,1996-04-11
8.6184113111065,7.63757182028122,1996-04-12
8.62925677717931,7.64041163973859,1996-04-15
8.63409050515897,7.64840610554942,1996-04-16
8.62154062576044,7.63776467150129,1996-04-17
8.62186671326785,7.64300363556072,1996-04-18
8.61893355863685,7.64611480236363,1996-04-19
8.62420558409366,7.65751905996098,1996-04-22
8.62848227028229,7.65539064482615,1996-04-23
8.62225564501798,7.66016148959767,1996-04-24
8.62459544937895,7.65747176472493,1996-04-25
8.62478944806157,7.66781311899605,1996-04-26
8.62576238184688,7.6642527980389,1996-04-29
8.62498516272852,7.67173366312734,1996-04-30
8.62608709599663,7.67173366312734,1996-05-01
8.61218877992373,7.66706468472724,1996-05-02
8.6085007870116,7.65699915256702,1996-05-03
8.60599314543127,7.64511066732542,1996-05-06
8.59802639179884,7.64190041506029,1996-05-07
8.60777586122476,7.64190041506029,1996-05-08
8.60797315015622,7.64271591536211,1996-05-09
8.615796150794,7.65671554753133,1996-05-10
8.62740991422978,7.65012105668291,1996-05-13
8.63492466325434,7.66016148959767,1996-05-14
8.63505443574758,7.66133887447224,1996-05-15
8.63676126494413,7.66133887447224,1996-05-16
8.6460260632592,7.66711141379159,1996-05-17
8.65674986472514,7.65945439270503,1996-05-20
8.65456266821359,7.66373638070551,1996-05-21
8.66181288102618,7.65135790303058,1996-05-22
8.65906076183469,7.65657365691254,1996-05-23
8.65918913446567,7.65808584993123,1996-05-24
8.64991649397391,7.66523778910014,1996-05-28
8.64361966744063,7.65780255296463,1996-05-29
8.64706467202604,7.65368459850031,1996-05-30
8.63820304657514,7.65449066515531,1996-05-31
8.63492466325434,7.65969014722761,1996-06-03
8.64218748970502,7.65491704784832,1996-06-04
8.64777924729181,7.65699915256702,1996-06-05
8.64244867263635,7.66537845575626,1996-06-06
8.64771428365464,7.6506445514369,1996-06-07
8.64609113665837,7.6595486780793,1996-06-10
