Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1961,44.18,66.35,27.54,39.90,8.06,15.60,17.74,13.76,7.24,12.05,42.56,37.65
1962,110.17,67.94,41.42,15.05,28.87,19.27,20.65,15.58,14.84,22.42,15.91,59.58
1963,95.16,79.35,68.00,44.18,43.17,26.72,19.07,20.68,10.95,11.82,18.49,35.70
1964,68.90,41.02,50.52,32.85,22.04,23.73,24.91,14.73,32.57,32.18,33.25,42.40
1965,33.93,20.27,72.76,14.22,17.60,24.86,16.59,24.70,10.78,14.34,21.89,68.50
1966,86.69,56.02,25.47,27.67,14.53,27.36,14.06,30.37,14.92,23.83,33.92,43.18
1967,70.80,121.24,68.54,6.63,20.55,35.00,12.49,15.04,6.27,13.55,15.36,38.40
1968,98.34,95.91,66.28,40.62,67.39,39.09,32.30,19.48,12.17,12.26,20.83,39.83
1969,53.54,91.50,61.26,11.35,27.74,18.52,17.66,12.08,12.64,28.32,19.87,50.39
1970,39.68,54.05,40.57,33.78,23.13,13.32,7.38,15.45,30.34,15.12,39.43,65.61
1971,54.39,78.78,90.89,38.79,14.49,26.47,19.10,22.59,15.25,16.84,45.49,63.60
1972,60.82,67.85,78.15,15.22,12.00,12.07,15.71,17.26,8.11,17.93,31.01,21.53
1973,90.89,97.59,73.03,33.07,23.29,42.66,35.91,33.91,26.63,32.74,71.71,86.36
1974,231.69,101.77,86.16,68.85,42.08,13.02,28.59,28.13,31.39,40.08,40.45,47.44
1975,59.30,119.70,64.74,33.54,12.78,21.26,21.65,21.32,32.67,72.03,35.40,107.85
1976,111.94,133.59,73.67,14.20,9.61,11.14,12.96,11.27,15.74,42.10,32.91,47.80
1977,68.18,111.13,77.91,23.99,42.16,13.01,6.65,9.98,10.37,12.72,33.31,55.78
1978,97.29,63.35,34.43,20.14,40.52,39.30,52.97,26.33,32.75,24.62,34.76,49.99
1979,86.68,83.91,64.49,25.22,37.38,16.96,8.92,19.60,25.58,18.20,27.76,33.53
1980,77.25,96.22,34.81,36.92,31.06,24.36,23.82,11.87,6.37,23.36,17.49,44.03
1981,129.46,109.51,29.81,15.83,42.23,28.05,29.38,16.61,9.85,16.50,55.75,47.93
1982,84.79,89.79,91.85,14.83,15.69,12.31,6.39,7.33,18.19,11.32,17.72,41.33
1983,43.54,31.16,106.98,67.12,45.64,22.13,16.58,19.75,15.67,25.04,50.40,50.91
1984,153.27,69.25,79.34,23.02,20.51,10.94,46.69,18.72,29.04,23.89,21.92,57.44
1985,33.23,60.35,54.66,30.58,18.58,23.63,20.65,23.34,9.75,32.80,49.63,43.41
1986,77.99,42.77,14.83,16.55,23.21,30.36,48.66,20.25,17.53,37.49,25.14,30.96
1987,92.77,101.82,27.12,15.15,21.73,29.69,14.54,17.22,8.10,18.11,33.46,72.88
1988,34.59,47.87,55.83,41.48,41.69,19.51,28.89,21.77,16.12,10.29,36.68,102.62
1989,39.15,42.81,126.24,57.35,43.79,32.09,20.72,10.60,6.30,19.72,41.95,36.97
1990,67.16,40.02,51.89,62.43,43.68,22.42,22.45,20.63,10.57,16.58,13.14,44.58
1991,132.80,120.95,15.53,13.77,15.89,37.04,22.71,11.75,9.96,7.35,32.31,44.00
1992,40.53,86.68,37.96,37.90,36.86,21.26,10.33,32.57,27.43,29.99,30.60,61.78
1993,84.19,110.30,25.58,8.47,29.03,25.56,27.97,21.24,24.19,28.35,31.64,69.86
1994,39.19,102.26,49.75,8.38,10.77,17.23,8.30,8.41,6.51,12.03,25.91,49.83
1995,102.33,108.86,53.74,26.26,29.58,24.47,20.26,9.52,16.28,24.73,40.95,63.93
1996,72.60,41.97,62.17,36.76,21.14,26.90,37.02,22.40,21.45,28.61,21.91,68.24
1997,109.81,117.45,43.59,9.81,40.11,13.27,10.86,18.02,24.18,20.30,30.45,73.49
1998,81.05,56.39,36.07,49.21,22.75,35.50,42.91,29.26,32.86,33.16,54.62,76.08
1999,86.33,95.73,87.27,35.17,22.29,19.31,16.23,14.77,11.96,37.38,61.10,90.73
2000,75.03,145.51,115.29,69.34,21.92,16.68,13.42,16.46,9.89,46.15,69.01,99.60
2001,72.05,124.37,93.37,18.46,14.41,27.67,24.22,13.30,14.96,39.29,45.15,62.83
2002,59.89,116.00,23.73,12.67,10.49,15.32,8.50,11.61,9.95,6.10,23.47,33.51
2003,70.84,111.07,47.43,27.45,15.28,20.91,14.52,26.75,10.83,18.44,28.08,80.98
2004,92.26,113.50,62.00,21.91,33.29,21.24,16.68,14.84,14.68,15.52,32.40,58.97
2005,62.90,35.86,36.40,10.32,16.94,47.74,23.46,21.50,18.65,36.21,35.93,51.07
2006,130.08,56.61,93.44,66.70,10.78,13.31,24.74,7.01,13.02,13.41,17.93,41.81
2007,111.50,50.58,95.88,19.35,22.83,40.49,12.24,13.45,8.08,15.87,39.66,76.46
2008,72.80,111.66,37.86,14.02,7.78,22.97,24.39,12.85,19.04,13.76,62.74,78.82
2009,129.06,87.97,28.04,25.18,19.06,22.86,14.72,11.15,14.99,12.90,29.26,65.62
2010,104.09,101.55,63.29,43.72,33.17,11.66,36.78,29.17,50.83,56.81,60.70,111.59
2011,112.83,142.76,149.54,39.31,15.96,20.42,20.33,16.01,12.70,37.98,63.52,76.37
2012,97.88,72.05,116.82,19.73,17.34,24.87,19.57,8.79,10.10,10.49,32.11,49.29
2013,70.39,60.68,67.31,20.87,37.59,31.63,19.03,11.56,13.84,11.87,43.18,42.34
2014,97.52,110.88,44.27,42.84,22.29,16.14,14.99,15.15,12.50,10.06,26.92,69.27
2015,115.76,41.36,45.37,27.97,23.43,20.52,16.12,17.09,6.26,11.29,34.75,86.37
2016,75.05,44.57,66.46,10.68,46.34,52.05,36.59,28.49,49.04,20.17,23.69,91.75
