Data Source in SDW: http://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=143.FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA
,FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA
,"Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters"
Collection:,Average of observations through period (A)
Period\Unit:,[Percent per annum ]
2003Mar,2.5300
2003Feb,2.6875
2003Jan,2.8318
2002Dec,2.9410
2002Nov,3.1241
2002Oct,3.2613
2002Sep,3.3101
2002Aug,3.3519
2002Jul,3.4100
2002Jun,3.4640
2002May,3.4671
2002Apr,3.4069
2002Mar,3.3908
2002Feb,3.3571
2002Jan,3.3388
2001Dec,3.3449
2001Nov,3.3857
2001Oct,3.5999
2001Sep,3.9829
2001Aug,4.3535
2001Jul,4.4671
2001Jun,4.4536
2001May,4.6367
2001Apr,4.6820
2001Mar,4.7086
2001Feb,4.7558
2001Jan,4.7707
2000Dec,4.9392
2000Nov,5.0920
2000Oct,5.0413
2000Sep,4.8528
2000Aug,4.7771
2000Jul,4.5829
2000Jun,4.5017
2000May,4.3620
2000Apr,3.9253
2000Mar,3.7470
2000Feb,3.5368
2000Jan,3.3431
1999Dec,3.4460
1999Nov,3.4677
1999Oct,3.3757
1999Sep,2.7267
1999Aug,2.6950
1999Jul,2.6765
1999Jun,2.6267
1999May,2.5790
1999Apr,2.6965
1999Mar,3.0467
1999Feb,3.0934
1999Jan,3.1321
1998Dec,3.3700
1998Nov,3.6900
1998Oct,3.8100
1998Sep,3.9300
1998Aug,3.9300
1998Jul,3.9500
1998Jun,4.0200
1998May,4.0600
1998Apr,4.0900
1998Mar,4.1100
1998Feb,4.2400
1998Jan,4.2600
1997Dec,4.3700
1997Nov,4.4900
1997Oct,4.4400
1997Sep,4.3100
1997Aug,4.3600
1997Jul,4.3000
1997Jun,4.2900
1997May,4.3000
1997Apr,4.3900
1997Mar,4.5000
1997Feb,4.4300
1997Jan,4.3900
1996Dec,4.5000
1996Nov,4.5700
1996Oct,4.6900
1996Sep,4.8600
1996Aug,5.0800
1996Jul,5.0600
1996Jun,5.0800
1996May,5.0600
1996Apr,5.2700
1996Mar,5.5000
1996Feb,5.5800
1996Jan,5.8100
1995Dec,6.3200
1995Nov,6.4500
1995Oct,6.7500
1995Sep,6.5000
1995Aug,6.6600
1995Jul,6.9200
1995Jun,7.0800
1995May,7.0400
1995Apr,7.2900
1995Mar,7.5800
1995Feb,6.5900
1995Jan,6.6600
1994Dec,6.6900
1994Nov,6.4000
1994Oct,6.4300
1994Sep,6.3800
1994Aug,6.4300
1994Jul,6.3400
1994Jun,6.3000
1994May,6.2400
1994Apr,6.5700
1994Mar,6.7500
1994Feb,6.8600
1994Jan,6.9100
