N,Short,Long,term_St,term_Kesci
143,5.4244,6.8,1.3756,0.05661662
144,4.8193,6.22,1.4007,-0.586557027
145,4.7165,6.3,1.5835,0.07332333
146,4.2148,5.97,1.7552,-0.337548017
147,3.3594,6.11,2.7506,0.131633547
148,3.5102,5.73,2.2198,-0.393111193
149,3.9127,5.98,2.0673,0.239418953
150,4.3155,6.13,1.8145,0.14014587
151,5.0209,6.3,1.2791,0.161350883
152,5.2226,6.3,1.0774,-0.006097043
153,4.6177,5.94,1.3223,-0.365135607
154,4.6177,5.8,1.1823,-0.146302963
155,4.1644,5.75,1.5856,-0.05563563
156,4.0134,5.79,1.7766,0.032441973
157,3.5102,5.81,2.2998,0.01153154
158,3.2086,5.9,2.6914,0.07903762
159,3.2588,5.85,2.5912,-0.062829007
160,3.6108,5.98,2.3692,0.117648613
161,3.4097,5.98,2.5703,-0.011293187
162,3.6108,5.81,2.1992,-0.182251763
163,3.7114,5.86,2.1486,0.039517147
164,3.6108,5.73,2.1192,-0.14024166
165,4.516,5.7,1.184,-0.04010152
166,4.5673,5.85,1.2827,0.144356267
167,4.5169,5.73,1.2131,-0.126114203
168,4.9201,5.59,0.6699,-0.145782443
169,4.9201,5.83,0.9099,0.23680681
170,5.2731,6.85,1.5769,1.01566281
171,5.7272,6.88,1.1528,0.022483443
172,6.1312,6.85,0.7188,-0.035495013
173,6.0807,6.88,0.7993,0.02657372
174,6.7376,7.03,0.2924,0.146190003
175,7.5472,7.09,-0.4572,0.058606227
176,8.3578,7.57,-0.7878,0.48217932
177,8.6621,7.31,-1.3521,-0.25624482
178,7.2435,7.02,-0.2235,-0.28355499
179,7.2941,7.27,-0.0241,0.25106535
180,7.2435,7.11,-0.1335,-0.159885123
181,7.3447,7.3,-0.0447,0.19063635
182,7.2435,7.38,0.1365,0.08021307
183,7.5472,7.49,-0.0572,0.10934935
184,8.3578,7.8,-0.5578,0.310272653
185,8.865,8.12,-0.745,0.322658847
186,7.6484,8.06,0.4116,-0.056448833
187,7.951,8.06,0.109,-0.00196196
188,8.3071,8.32,0.0129,0.259480433
189,9.5758,8.51,-1.0658,0.18993851
190,7.0411,8.39,1.3489,-0.114919687
191,7.0411,8,0.9589,-0.396429757
192,7.2941,7.75,0.4559,-0.254570757
193,7.0411,7.65,0.6089,-0.102173123
194,5.4244,7.64,2.2156,-0.012902423
195,4.6177,7.6,2.9823,-0.050561027
196,5.3134,8.01,2.6966,0.39578437
197,5.0209,8.35,3.3291,0.327146207
198,4.9705,8.17,3.1995,-0.19586871
199,5.6263,7.97,2.3437,-0.21525095
200,6.0807,8.09,2.0093,0.108828363
201,5.9292,8.36,2.4308,0.260422337
202,6.2322,8.48,2.2478,0.108413187
203,5.2226,8.02,2.7974,-0.470714513
204,5.0209,8.12,3.0991,0.086665727
205,5.0209,7.83,2.8091,-0.304772377
206,4.4162,7.85,3.4338,0.006609957
207,4.7689,7.8,3.0311,-0.06636778
208,4.7689,7.9,3.1311,0.085551757
209,4.7689,7.95,3.1811,0.03507509
210,5.3235,8.12,2.7965,0.154836757
211,5.2731,7.98,2.7069,-0.153329983
212,5.0209,8.01,2.9891,0.01709711
213,5.0209,7.85,2.8291,-0.174248043
214,5.0713,7.78,2.7087,-0.083485377
215,4.7185,7.73,3.0115,-0.06291147
216,4.3658,7.48,3.1142,-0.264354817
217,4.1644,7.16,2.9956,-0.334844353
218,4.5073,7.68,3.1727,0.505720973
219,4.4766,7.74,3.2634,0.044876797
220,4.5572,7.69,3.1328,-0.06555554
221,4.4162,7.68,3.2638,-0.024933013
222,4.7689,7.65,2.8811,-0.045557447
223,4.9705,7.5,2.5295,-0.163733243
224,5.2731,7.62,2.3469,0.107942717
225,5.3235,7.51,2.1865,-0.12118689
226,5.8787,7.61,1.7313,0.089577683
227,6.0807,7.8,1.7193,0.18174747
228,5.5758,7.76,2.1842,-0.04819533
229,5.7777,7.95,2.1723,0.179588647
230,5.9796,8.09,2.1104,0.12964537
231,6.0807,8.16,2.0793,0.059940427
232,6.4343,8.28,1.8457,0.11008867
233,6.1817,8.31,2.1283,0.021202163
234,6.4343,8.47,2.0357,0.149855103
235,6.5354,8.63,2.0946,0.150296497
236,6.5354,8.56,2.0246,-0.07998426
