ERSTE GROUP BANK AG,,,,,,,,RAIFFEISEN BANK INTERNATIONA,,,,,,,,KBC GROEP NV,,,,,,,,DEXIA SA,,,,,,,,BANK OF CYPRUS PUBLIC CO LTD,,,,,,,,HELLENIC BANK PUBLIC CO LTD,,,,,,,,COMMERZBANK AG,,,,,,,,DEUTSCHE BANK AG?REGISTERED,,,,,,,,AAREAL BANK AG,,,,,,,,DEUTSCHE PFANDBRIEFBANK AG,,,,,,,,BANCO BILBAO VIZCAYA ARGENTA,,,,,,,,BANCO DE SABADELL SA,,,,,,,,BANCO POPULAR ESPANOL,,,,,,,,BANCO SANTANDER SA,,,,,,,,BANKIA SA,,,,,,,,BANKINTER SA,,,,,,,,CAIXABANK S.A,,,,,,,,LIBERBANK SA,,,,,,,,BNP PARIBAS,,,,,,,,Crédit Mutuel,,,,,,,,CREDIT AGRICOLE SA,,,,,,,,BPCE,,,,,,,,SOCIETE GENERALE SA,,,,,,,,BANCA CARIGE SPA,,,,,,,,BANCA MONTE DEI PASCHI SIENA,,,,,,,,BANCA POPOL EMILIA ROMAGNA,,,,,,,,BANCA POPOLARE DI MILANO,,,,,,,,BANCA POPOLARE DI SONDRIO,,,,,,,,BANCO POPOLARE SC,,,,,,,,INTESA SANPAOLO,,,,,,,,MEDIOBANCA SPA IT,,,,,,,,UBI BANCA SPA,,,,,,,,UNICREDIT SPA,,,,,,,,BANK OF VALLETTA PLC,,,,,,,,ING GROEP NV,,,,,,,,ABN AMRO GROUP,,,,,,,,RABOBANK,,,,,,,,BANCO BPI SA.? REG SHS,,,,,,,,BANCO COMERCIAL PORTUGUES?R,,,,,,,,UBS GROUP AG?REG,,,,,,,,CREDIT SUISSE GROUP AG?REG,,,,,,,,BARCLAYS PLC GB,,,,,,,,HSBC HOLDINGS PLC GB,,,,,,,,ROYAL BANK OF SCOTLAND GROUP GB,,,,,,,,NORDEA BANK AB,,,,,,,,JPMORGAN CHASE & Co,,,,,,,,CITIGROUP INC,,,,,,,,BANK OF AMERICA,,,,,,,,GOLDMAN SACHS Group,,,,,,,,MORGAN STANLEY,,,,,,
Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,#N/A Field Not Applicable,,,,,,,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type,,Year/Period,Announcement Date,Announcement Time,Earnings EPS,Comparable EPS,Estimate EPS,Dividend Type
2016:Q3,42678,0.3125,#N/A N/A,#N/A N/A,0.64,,,2016:Q3,42684,0.3125,#N/A N/A,#N/A N/A,0.455,,,2016:A,42775,#N/A N/A,#N/A N/A,#N/A N/A,4.806,Regular Cash,,2017:Q1,42872,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,Stock Split,,2016:Q2,42612,Aft-mkt,#N/A N/A,#N/A N/A,#N/A N/A,Open Offer,,2016:S1,42612,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,Stock Split,,2016:Q3,42678,#N/A N/A,#N/A N/A,#N/A N/A,0.17,Regular Cash,,2016:A,42768,#N/A N/A,#N/A N/A,#N/A N/A,0.39,Omitted,,2016:Q3,42684,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,Regular Cash,,2016:Q3,42688,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,Regular Cash,,2016:Q3,42670,#N/A N/A,#N/A N/A,#N/A N/A,0.14,Interim,,2016:S1,42573,0.333333333,0.0904,0.068,#N/A N/A,Stock Dividend,,2016:S1,42580,Bef-mkt,0.0455,0.0371,#N/A N/A,Rights Issue,,2016:S1,42578,0.293055556,0.2194,0.22,#N/A N/A,2nd Interim,,2016:S1,42573,#N/A N/A,0.0455,0.0425,#N/A N/A,Regular Cash,,2016:S1,42572,#N/A N/A,0.2269,0.2091,#N/A N/A,1st Interim,,2016:S1,42580,0.295833333,31.6138,0.1079,#N/A N/A,Final,,2016:S1,42585,0.326388889,0.0836,0.0806,#N/A N/A,Stock Split,,2016:S1,42579,0.291666667,3.206,3.2088,#N/A N/A,Regular Cash,,2016:S1,42579,#N/A N/A,16.8968,#N/A N/A,#N/A N/A,Regular Cash,,2017:S1,42950,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,Regular Cash,,2016:Q3,42682,#N/A N/A,#N/A N/A,#N/A N/A,0.1,Regular Cash,,2017:Q3,43042,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,Regular Cash,,2016:Q3,42682,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,Rights Issue,,2016:Q3,42671,#N/A N/A,#N/A N/A,#N/A N/A,0.005,Rights Issue,,2016:Q3,42685,#N/A N/A,#N/A N/A,#N/A N/A,0.12,Regular Cash,,2016:Q3,42682,#N/A N/A,#N/A N/A,#N/A N/A,0.01,Regular Cash,,2016:Q3,42682,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,Regular Cash,,2016:Q3,42682,#N/A N/A,#N/A N/A,#N/A N/A,-0.18,Rights Issue,,2016:Q3,42678,#N/A N/A,#N/A N/A,#N/A N/A,0.044,Regular Cash,,2016:A,42587,0.302083333,0.7821,0.694,0.664,Regular Cash,,2016:Q3,42685,#N/A N/A,#N/A N/A,#N/A N/A,0.065,Regular Cash,,2016:Q3,42684,#N/A N/A,#N/A N/A,#N/A N/A,0.095,Regular Cash,,2016:S1,42506,#N/A N/A,0.0962,#N/A N/A,#N/A N/A,Interim,,2016:A,42768,#N/A N/A,#N/A N/A,#N/A N/A,1.09,Interim,,2016:Q3,42690,#N/A N/A,#N/A N/A,#N/A N/A,0.5,Final,,,,,,,,,,2016:S1,42577,#N/A N/A,0.0743,0.0773,#N/A N/A,Discontinued,,2016:A,42772,#N/A N/A,#N/A N/A,#N/A N/A,0.003,Rights Issue,,2016:A,42766,#N/A N/A,#N/A N/A,#N/A N/A,1.102,Return of Capital,,2016:Q3,42677,0.229166667,#N/A N/A,#N/A N/A,0.194,Return of Capital,,2016:S1,42580,0.291666667,0.0557,0.0493,0.075,Interim,,2016:Q3,42681,#N/A N/A,#N/A N/A,#N/A N/A,0.102,2nd Interim,,2016:Q3,42671,#N/A N/A,#N/A N/A,#N/A N/A,0.046,Stock Split,,2016:Q3,42669,#N/A N/A,#N/A N/A,#N/A N/A,0.201,Regular Cash,,2017:Q1,42838,0.28125,#N/A N/A,#N/A N/A,1.562,Regular Cash,,2017:Q1,42838,0.333333333,#N/A N/A,#N/A N/A,1.328,Regular Cash,,2016:Q4,42748,0.28125,#N/A N/A,#N/A N/A,0.365,Regular Cash,,2016:Q3,42661,#N/A N/A,#N/A N/A,#N/A N/A,3.808,Regular Cash,,2016:Q2,42571,0.288194444,0.75,0.75,0.598,Regular Cash
2016:Q2,42587,0.3125,1.1557,1.0772,0.68,,,2016:Q2,42600,0.3125,#N/A N/A,#N/A N/A,0.55,,,2016:Q3,42691,0.291666667,#N/A N/A,#N/A N/A,1.255,Omitted,,2016:A,42782,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,Omitted,,2016:Q1,42521,#N/A N/A,0.0062,#N/A N/A,#N/A N/A,Rights Issue,,2015:A,42460,#N/A N/A,0.039,#N/A N/A,#N/A N/A,Rights Issue,,2016:Q2,42584,#N/A N/A,0.1882,0.1203,0.16,Rights Issue,,2016:Q3,42670,#N/A N/A,#N/A N/A,#N/A N/A,0.37,Regular Cash,,2016:Q2,42593,#N/A N/A,1.2855,1.2855,1.227,Regular Cash,,2016:Q2,42594,#N/A N/A,#N/A N/A,#N/A N/A,0.27,Omitted,,2016:S1,42580,0.305555556,0.2369,0.27,#N/A N/A,Final,,2016:Q1,42482,0.333333333,0.0702,0.0395,0.04,Final,,2016:Q1,42489,Bef-mkt,0.0384,0.0395,0.036,1st Interim,,2016:Q1,42487,Bef-mkt,0.1154,0.11,0.11,Interim,,2016:Q1,42489,#N/A N/A,0.022,0.021,0.02,Regular Cash,,2016:Q1,42481,#N/A N/A,0.1254,0.117,0.12,Final,,2016:Q1,42488,#N/A N/A,0.0624,0.047,0.06,3rd Interim,,2016:Q1,42460,#N/A N/A,0.042,0.042,#N/A N/A,Stock Dividend,,2016:Q1,42493,0.291666667,1.2992,1.297,0.965,Regular Cash,,2015:A,42425,#N/A N/A,29.904,#N/A N/A,#N/A N/A,Regular Cash,,2017:Q1,42866,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,Regular Cash,,2016:S1,42579,0.732638889,0.1716,0.1978,#N/A N/A,Special Cash,,2017:S1,42949,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,Regular Cash,,2016:S1,42587,0.608333333,-0.2482,-0.2482,#N/A N/A,Stock Split,,2016:S1,42580,0.852777778,0.1251,0.103,#N/A N/A,Rights Issue,,2016:S1,42586,0.735416667,0.0941,0.1498,#N/A N/A,Regular Cash,,2016:S1,42586,0.736805556,0.036,#N/A N/A,#N/A N/A,Regular Cash,,2016:S1,42591,0.705555556,0.1021,0.1023,#N/A N/A,Regular Cash,,2016:S1,42587,0.765277778,-0.7194,-0.727,#N/A N/A,Regular Cash,,2016:S1,42584,0.570833333,0.0952,0.1126,#N/A N/A,Regular Cash,,2016:Q3,42500,#N/A N/A,0.1503,0.139,0.12,Regular Cash,,2016:S1,42587,0.661111111,-0.562,-0.8413,#N/A N/A,Regular Cash,,2016:S1,42585,0.563888889,0.2773,0.2354,#N/A N/A,Regular Cash,,2015:A,42327,#N/A N/A,0.2085,#N/A N/A,#N/A N/A,Stock Dividend,,2016:Q3,42677,#N/A N/A,#N/A N/A,#N/A N/A,0.295,Final,,2016:S1,42599,0.291666667,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,,,,2016:Q1,42521,#N/A N/A,0.0271,0.0323,0.03,Rights Issue,,2016:Q3,42674,#N/A N/A,#N/A N/A,#N/A N/A,0,Rights Issue,,2016:Q3,42675,#N/A N/A,#N/A N/A,#N/A N/A,0.283,Special Cash,,2016:S1,42579,0.270833333,0.0909,0.072,#N/A N/A,Rights Issue,,2016:Q1,42487,0.291666667,0.0248,0.023,0.046,Final,,2016:S1,42586,0.166666667,0.3593,0.36,0.33,1st Interim,,2016:S1,42587,0.291666667,-0.0745,-0.055,0.08,Discontinued,,2016:Q2,42571,0.291666667,0.2176,0.2121,0.204,Regular Cash,,2016:Q4,42748,0.28125,#N/A N/A,#N/A N/A,1.37,Regular Cash,,2016:Q4,42753,0.333333333,#N/A N/A,#N/A N/A,1.116,Regular Cash,,2016:Q3,42660,0.28125,#N/A N/A,#N/A N/A,0.341,Regular Cash,,2016:Q2,42570,0.318055556,3.9065,3.72,3.052,Regular Cash,,2016:Q1,42478,0.288194444,0.55,0.55,0.459,Regular Cash
2016:Q1,42494,0.3125,0.64,0.64,0.498,,,2016:Q1,42501,0.3125,0.3796,0.3849,0.42,,,2016:S1,42593,0.291666667,2.8046,2.6,#N/A N/A,Regular Cash,,2016:Q3,42691,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,Omitted,,2015:A,42425,Aft-mkt,-0.0349,-0.044,-0.045,Final,,2015:S1,42247,#N/A N/A,-0.0005,#N/A N/A,#N/A N/A,Rights Issue,,2016:Q1,42493,#N/A N/A,0.1982,0.13,0.18,Stock Split,,2016:Q2,42578,0.301388889,0.1063,0.3605,0.507,Rights Issue,,2016:Q1,42500,#N/A N/A,0.85,0.9189,0.793,Regular Cash,,2016:Q1,42502,#N/A N/A,0.3156,0.25,#N/A N/A,Regular Cash,,2016:Q1,42488,#N/A N/A,0.1114,0.1,0.137,3rd Interim,,2015:A,42398,0.333333333,0.2052,0.1502,0.121,Stock Dividend,,2015:A,42398,Bef-mkt,0.0449,0.044,0.137,Interim,,2015:A,42396,Bef-mkt,0.5209,0.45,0.474,4th Interim,,2015:A,42401,#N/A N/A,0.0992,0.09,0.09,Rights Issue,,2015:A,42390,#N/A N/A,0.483,0.42,0.418,3rd Interim,,2015:A,42398,#N/A N/A,0.2032,0.207,0.207,2nd Interim,,2015:A,42424,#N/A N/A,0.179,0.147,0.172,Rights Issue,,2015:A,42405,0.291666667,5.789,5.604,5.664,Regular Cash,,2014:A,42062,#N/A N/A,29.54,#N/A N/A,#N/A N/A,Regular Cash,,2016:A,42781,#N/A N/A,#N/A N/A,#N/A N/A,1.008,Regular Cash,,2016:Q1,42500,0.292361111,0.071,0.068,0.08,Regular Cash,,2017:Q1,42859,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,Regular Cash,,2016:Q1,42501,#N/A N/A,-0.049,#N/A N/A,#N/A N/A,Rights Issue,,2016:Q1,42495,0.757638889,0.0511,0.031,0,Stock Split,,2016:Q1,42502,0.733333333,0.0848,0.064,0.08,Rights Issue,,2016:Q1,42500,0.734027778,0.011,0.011,0.01,Discontinued,,2016:Q1,42502,0.736111111,0.049,0.049,#N/A N/A,Bonus,,2016:Q1,42500,0.768055556,-0.6605,-0.67,0.067,Rights Issue,,2016:Q1,42496,0.558333333,0.0503,0.049,#N/A N/A,Regular Cash,,2016:S1,42411,0.291666667,0.4682,0.445,#N/A N/A,Regular Cash,,2016:Q1,42502,0.591666667,0.0538,0.047,0.05,Regular Cash,,2016:Q1,42500,0.565277778,0.1364,0.107,#N/A N/A,Regular Cash,,2015:S1,42124,#N/A N/A,0.1042,#N/A N/A,#N/A N/A,Final,,2016:S1,42585,0.291666667,0.5379,0.5842,#N/A N/A,Interim,,2016:Q1,42501,0.291666667,0.5316,0.49,0.433,,,,,,,,,,,2015:A,42396,0.65625,0.1386,0.163,0.13,Omitted,,2016:S1,42580,0.833333333,-0.0043,-0.0033,#N/A N/A,Rights Issue,,2016:S1,42580,0.28125,0.6168,0.5355,0.53,Special Cash,,2016:Q1,42500,0.270833333,-0.0054,-0.0211,-0.028,Return of Capital,,2015:A,42430,0.291666667,0.2322,0.174,0.229,3rd Interim,,2016:Q1,42493,#N/A N/A,0.1811,0.169,0.158,4th Interim,,2016:Q1,42489,0.5,-0.0811,0.032,0.023,Open Offer,,2016:Q1,42487,0.291666667,0.19,0.19,0.189,Regular Cash,,2016:Q3,42657,0.28125,#N/A N/A,#N/A N/A,1.375,Regular Cash,,2016:Q3,42657,0.333333333,#N/A N/A,#N/A N/A,1.178,Regular Cash,,2016:Q2,42569,0.28125,0.3855,0.37,0.329,Regular Cash,,2016:Q1,42479,0.315972222,2.7919,2.3223,2.48,Regular Cash,,2015:Q4,42388,0.288194444,0.4329,0.43,0.321,Regular Cash
2015:A,42426,0.3125,2.27,2.253,2.16,,,2015:A,42401,0.792361111,1.2279,#N/A N/A,0.565,,,2016:Q1,42502,0.292361111,0.9116,0.91,0.638,Omitted,,2016:S1,42592,#N/A N/A,-6.6014,#N/A N/A,#N/A N/A,Rights Issue,,2015:Q3,42331,#N/A N/A,0.0066,#N/A N/A,#N/A N/A,Rights Issue,,2014:A,42094,#N/A N/A,-1.6,#N/A N/A,#N/A N/A,Rights Issue,,2015:A,42412,0.291666667,0.9361,0.946,0.904,Rights Issue,,2016:Q1,42488,0.302083333,0.3527,0.4085,0.305,Regular Cash,,2015:A,42425,#N/A N/A,3.7917,3.897,3.068,Rights Issue,,2015:A,42431,#N/A N/A,1.71,1.71,1.509,Special Cash,,2015:A,42403,#N/A N/A,0.4294,0.597,0.567,2nd Interim,,2015:Q3,42300,0.333333333,0.0455,0.0148,0.026,Final,,2015:Q3,42307,Bef-mkt,0.0375,0.0377,0.036,3rd Interim,,2015:Q3,42306,Bef-mkt,0.1229,0.112,0.128,3rd Interim,,2015:Q3,42310,#N/A N/A,0.0281,0.026,0.025,Stock Split,,2015:Q3,42299,#N/A N/A,0.1285,0.114,0.12,2nd Interim,,2015:Q3,42299,#N/A N/A,0.0574,0.05,0.07,Interim,,2015:Q3,42311,#N/A N/A,0.0484,0.048,0.06,,,2015:Q3,42307,0.291666667,1.5339,1.623,1.417,Regular Cash,,2013:A,41698,0.474305556,22.2855,#N/A N/A,#N/A N/A,Regular Cash,,2016:Q3,42682,#N/A N/A,#N/A N/A,#N/A N/A,0.08,Omitted,,2015:A,42410,0.732638889,0.4482,0.43,0.417,Special Cash,,2016:A,42775,#N/A N/A,#N/A N/A,#N/A N/A,3.952,Regular Cash,,2015:A,42411,0.865972222,-0.2383,-0.072,-0.125,Omitted,,2015:A,42405,#N/A N/A,0.216,-0.049,-0.008,Rights Issue,,2015:A,42411,0.733333333,0.7552,0.217,0.258,Omitted,,2015:A,42408,0.736805556,0.0618,0.063,0.051,Rights Issue,,2015:A,42410,#N/A N/A,0.2874,0.285,0.345,Rights Issue,,2015:A,42409,#N/A N/A,1.2403,0.6002,0.553,Stock Split,,2015:A,42405,0.570138889,0.1565,0.194,0.191,Regular Cash,,2016:Q1,42305,0.302777778,0.2828,0.282,#N/A N/A,Omitted,,2015:A,42411,0.34375,0.1252,0.275,0.269,Regular Cash,,2015:A,42409,0.567361111,0.4238,0.362,0.368,Regular Cash,,2014:A,41969,#N/A N/A,0.1768,#N/A N/A,#N/A N/A,Interim,,2016:Q1,42500,0.291666667,0.2108,0.2176,0.243,Final,,2015:A,42417,0.291666667,2.067,2.047,2.062,,,,,,,,,,,2015:Q3,42305,#N/A N/A,0.0229,0.053,0.065,Rights Issue,,2016:Q1,42492,0.708333333,0.0004,0.001,0,Rights Issue,,2016:Q1,42493,0.28125,0.2557,0.245,0.29,Return of Capital,,2015:A,42404,0.302083333,1.2287,0.3889,1.668,Return of Capital,,2015:Q3,42306,0.291666667,0.0691,0.059,0.06,2nd Interim,,2015:A,42422,0.166666667,0.7463,0.856,0.804,3rd Interim,,2015:A,42426,0.293055556,0.2342,0.188,0.243,Omitted,,2015:A,42396,0.291666667,0.9271,0.961,0.909,Regular Cash,,2016:Q2,42565,0.28125,1.4383,1.4269,1.431,Regular Cash,,2016:Q2,42566,0.332638889,1.3452,1.24,1.101,Regular Cash,,2016:Q1,42474,0.28125,0.2237,0.2,0.205,Regular Cash,,2015:Q4,42389,0.315972222,4.2086,4.7758,3.573,Regular Cash,,2015:Q3,42296,0.288194444,0.4441,0.3402,0.627,Regular Cash
2015:Q3,42314,0.3125,0.6489,0.65,0.54,,,2015:Q3,42320,0.3125,0.2693,0.723,#N/A N/A,,,2015:A,42418,0.291666667,3.4652,4.344,5.747,Regular Cash,,2016:Q1,42508,#N/A N/A,-44.4766,#N/A N/A,#N/A N/A,Bonus,,2015:S1,42242,Aft-mkt,0.015,#N/A N/A,#N/A N/A,Stock Dividend,,2014:S1,41880,#N/A N/A,-1.2157,#N/A N/A,#N/A N/A,Final,,2015:Q3,42310,0.291666667,0.1893,0.186,0.172,Discontinued,,2015:A,42397,#N/A N/A,2.0871,1.132,4.232,Regular Cash,,2015:Q3,42318,#N/A N/A,0.852,0.854,0.773,Discontinued,,2015:Q3,42320,#N/A N/A,0.39,0.39,0.36,Special Cash,,2015:Q3,42307,#N/A N/A,0.1242,0.112,0.16,Interim,,2015:S1,42209,0.333333333,0.0894,0.0623,#N/A N/A,Rights Issue,,2015:S1,42216,Bef-mkt,0.1403,0.0789,#N/A N/A,2nd Interim,,2015:S1,42215,Bef-mkt,0.2462,0.304,0.29,2nd Interim,,2015:S1,42212,#N/A N/A,0.0555,0.048,#N/A N/A,,,2015:S1,42208,#N/A N/A,0.2496,0.219,0.2,1st Interim,,2015:S1,42216,#N/A N/A,0.1854,0.194,#N/A N/A,Final,,2015:S1,42221,#N/A N/A,0.1611,0.144,#N/A N/A,,,2015:S1,42216,0.291666667,3.0609,3.086,2.9,Regular Cash,,2013:S1,41486,#N/A N/A,11.0979,#N/A N/A,#N/A N/A,Regular Cash,,2016:S1,42585,0.291666667,0.3572,0.4574,#N/A N/A,Omitted,,2015:Q3,42313,#N/A N/A,0.0898,0.096,0.12,Regular Cash,,2016:Q3,42677,#N/A N/A,#N/A N/A,#N/A N/A,1.07,Omitted,,2015:Q3,42319,0.370833333,-0.0291,0.012,#N/A N/A,Regular Cash,,2015:Q3,42314,0.759722222,-0.0339,-0.007,#N/A N/A,Stock Split,,2015:Q3,42319,0.7625,0.0705,0.094,0.1,Omitted,,2015:Q3,42318,0.732638889,0.0103,0.011,0.01,Omitted,,2015:Q3,42318,0.777083333,0.0823,#N/A N/A,#N/A N/A,Regular Cash,,2015:Q3,42318,0.738888889,0.1059,0.1068,0.11,Omitted,,2015:Q3,42311,0.538194444,0.0439,0.047,0.05,Regular Cash,,2015:A,42221,#N/A N/A,0.6989,0.682,0.708,Regular Cash,,2015:Q3,42319,0.348611111,0.0417,0.042,0.05,Regular Cash,,2015:Q3,42319,0.60625,0.0894,0.103,0.085,Omitted,,2013:A,41606,#N/A N/A,0.1846,#N/A N/A,#N/A N/A,Bonus,,2015:A,42404,0.291666667,1.0269,1.094,1.103,Discontinued,,2015:Q3,42317,#N/A N/A,#N/A N/A,#N/A N/A,0.54,,,,,,,,,,,2015:S1,42214,#N/A N/A,0.0441,0.044,#N/A N/A,Omitted,,2015:A,42401,0.708333333,0.0053,0.005,0.006,Final,,2015:A,42402,0.28125,1.8962,1.638,1.537,Return of Capital,,2015:Q3,42298,0.270833333,0.3299,0.4004,0.509,Stock Dividend,,2015:S1,42214,0.292361111,0.1135,0.123,0.15,Interim,,2015:Q3,42310,0.166666667,0.2124,0.228,0.198,2nd Interim,,2015:Q3,42307,#N/A N/A,0.0498,0.046,0.063,Open Offer,,2015:Q3,42298,0.25,0.19,0.193,0.218,Regular Cash,,2016:Q1,42473,0.28125,1.3419,1.4091,1.254,Regular Cash,,2016:Q1,42475,0.332638889,1.1879,1.1,1.032,Regular Cash,,2015:Q4,42388,0.284722222,0.3425,0.2811,0.267,Regular Cash,,2015:Q3,42292,0.3125,3.2331,2.6422,3,Regular Cash,,2015:Q2,42205,0.291666667,0.7893,0.79,0.738,Regular Cash
