Dates,VFTSE,UKX
2004-01-05,0.03626381075035587,0.0006873309387611113
2004-01-06,-0.026229722658294072,-0.0017946956772207396
2004-01-07,-0.01014307785316058,-0.007147296457426933
2004-01-08,-0.03542345276872954,0.004739548401520192
2004-01-09,0.03665400309553954,-0.006208001424057594
2004-01-12,0.06766202918221932,-0.00373911291225395
2004-01-13,-0.025553012967200674,-0.0021350233728874503
2004-01-14,-0.06360078277886495,0.004797189252494149
2004-01-15,-0.023406478578892394,-0.0011879679024519821
2004-01-16,-0.08317283686425568,0.00713628509234516
2004-01-19,0.061075235353613956,0.0067292051961943735
2004-01-20,0.05308696289778561,-0.004161041145614347
2004-01-21,-0.023882467622893745,0.0026448558664680364
2004-01-22,0.038305157286539625,-0.0076254655080687265
2004-01-23,0.05145644407804346,-0.0035739814152966403
2004-01-26,0.04821953609931392,-0.0034298780487805286
2004-01-27,-0.007604562737642579,0.0003374198627825891
2004-01-28,0.006846303624144323,0.004744771756240244
2004-01-29,0.10804741110417962,-0.012667576822363054
2004-01-30,-0.02285778628532836,-0.004714949563640526
2004-02-02,0.019128831528001888,-0.0021181132848976662
2004-02-03,-0.035221619176842925,0.002099785456703503
2004-02-04,-0.05508350424846183,0.001799298501343697
2004-02-05,-0.008124031007751841,-0.003205638285779326
2004-02-06,-0.045954733024884405,0.004173889243682187
2004-02-09,-0.067894357428403,0.007200127194675953
2004-02-10,0.0,-0.00665253472848638
2004-02-11,0.09583069675877098,-0.0020204771958499935
2004-02-12,-0.06281278070062861,-0.004162875341219331
2004-02-13,-0.02895871842267406,0.0078351645841424
2004-02-16,0.0356739988719683,-0.0008839528558476057
2004-02-17,-0.013342409802586655,0.01211406274812269
2004-02-18,-0.024147923278598136,-0.004169001456909193
2004-02-19,-0.03351244343891404,0.01636318620720717
2004-02-20,0.12150694952450619,-0.00013287270794586848
2004-02-23,0.0506816254647447,0.0020598006644518677
2004-02-24,0.030047181524708106,-0.006078288353999513
2004-02-25,-0.0398384763741562,0.0023794698452232295
2004-02-26,-0.04613646349883871,0.001863560732113064
2004-02-27,0.023690444853908886,-0.005248123297681486
2004-03-01,-0.01780663409616852,0.009972841814701079
2004-03-02,-0.024870737613718222,0.0006832708838440299
2004-03-03,0.01033626417880382,-0.003303891984758045
2004-03-04,-0.03567395203613903,0.007513646107268347
2004-03-05,0.009437861669881543,-0.002632098440481674
2004-03-08,-0.02600150139903081,0.0014734666050889177
2004-03-09,0.035173766816143544,-0.0025912424788089466
2004-03-10,-0.01766617029917429,0.000726552179656579
2004-03-11,0.30035140908151314,-0.022022748773458375
2004-03-12,-0.0024904620601950297,0.004994150994330923
2004-03-15,0.08084993359893769,-0.012199489636029907
2004-03-16,-0.06349830441834184,0.0036257336445421383
2004-03-17,-0.11078457097874558,0.0062995326153222125
2004-03-18,0.08321529745042472,-0.013215760186681148
2004-03-19,-0.07851149613163337,0.004502148752813885
